"i","asc1","desc1","p"
1,32.9151946576312,4.94811882912136,-331.773425568894
2,0.264069673773462,8.98366994243069,-271.081820107848
3,3.08333996800188,12.267962450813,-255.848073600287
4,8.65648415475566,5.62843197951979,-254.381088910961
5,8.07124013384287,7.77233337536408,-253.773592418466
6,6.21735783457239,7.22888118907856,-253.910279431781
7,6.46479904256244,9.4929906988428,-253.568468701904
8,5.33961895015505,7.79297398304614,-253.981319646255
9,5.82567682071072,7.02327252569655,-254.2667699622
10,7.08488525939588,6.94489430747042,-253.823043262352
11,6.85420886637126,10.0366336984471,-253.910847899665
12,5.41104015087691,10.5271007427392,-253.559858993836
13,4.35854687247408,9.98453914647969,-253.605723290161
14,6.20383563308368,8.34350976761477,-253.484190999334
15,7.95523591312902,7.88839571994187,-253.746859098141
16,5.79415052729981,8.04961365253122,-253.64346690342
17,6.91199827982435,9.31556223054806,-253.670498187944
18,4.89030322056586,8.74005446923389,-253.724030176464
19,8.65388840564345,9.19985500481403,-254.605701388564
20,5.29259047807944,10.7949370207773,-253.621927820489
21,9.1808705798984,5.49524629828944,-254.455240848567
22,7.71377871778612,8.37300414699553,-253.737501994525
23,3.2386472624429,10.052589618512,-254.471549373349
24,3.67137166496184,9.36813623793698,-254.274943628717
25,7.49473166965698,7.28318586017874,-253.683685940156
26,8.95118128894513,8.09967483770039,-254.270216467606
27,7.74011804666055,6.0713135628396,-254.212764907334
28,3.96488695535493,11.9068321732705,-254.505915916059
29,4.00681364480091,7.79414253545862,-255.256107386924
30,6.0982667267291,9.50497969080631,-253.482910403111
31,5.50113505185266,9.63120076226939,-253.431579457332
32,4.19572895592695,9.54105078479212,-253.784908953266
33,6.80726050692295,8.61345322596778,-253.510199301252
34,3.81611540368443,11.4417674761548,-254.239889371752
35,3.85548879149986,9.38942967134561,-254.093642513704
36,4.17094483100494,8.19273263204876,-254.638476029309
37,3.2738296097685,9.96952226094935,-254.449221507233
38,3.5955335727502,9.78428559366647,-254.158608412956
39,4.11399015961964,11.0187850998532,-253.840695190665
40,6.23299923879843,6.62284131965633,-254.374666805832
41,6.372780385513,8.58799646131727,-253.457285841351
42,4.88374336987296,8.42011106329072,-253.880062791513
43,8.52394661769171,7.98786515754681,-254.00076119247
44,9.47100867885997,5.30046613503281,-254.584502159471
45,8.61623214973037,5.33692189062047,-254.605853540464
46,8.70206986643274,5.26009192842092,-254.65622371985
47,12.1277324410135,5.13037469739128,-255.580772430445
48,7.00963756786454,7.17347114987705,-253.733129298144
49,6.54208963312935,6.86881197884712,-254.019391745224
50,4.53569753975403,8.07616068644482,-254.373946028608
51,8.37458452461082,7.44557227322865,-253.849829911613
52,7.11114561483059,8.89941157253583,-253.633891685509
53,7.30805118353832,7.21680440094446,-253.696819195047
54,7.91359518114272,7.54397933806417,-253.717858258056
55,8.63740587811712,9.82896280301812,-255.000400589324
56,3.70011914586443,11.5526491321072,-254.407840575991
57,6.47455417034011,9.86504794833328,-253.677088782196
58,6.5501573322786,11.0056327240456,-254.231212385108
59,5.13611335964727,8.7664773104627,-253.609286024056
60,4.7749616734679,7.40565148870538,-254.768480096102
61,9.68541147587776,6.04656760244707,-254.348118925004
62,9.12820997559421,8.21177784320044,-254.427541916559
63,8.98251703758679,7.88962881978678,-254.214652689811
64,5.21422583288468,11.650211555316,-254.04724096348
