"i","asc1","desc1","pol1","p"
1,0.293494402348044,3.74512044738603,0.754094670097942,-149.964335473483
2,1.46901069454624,1.92900111272556,0.162458415783071,-138.987935035524
3,1.01502525818649,1.52545329782857,0.341373505888181,-136.013194227662
4,0.70585721546616,1.35718846981351,0.684853183209251,-135.618274142708
5,0.593966964675153,1.09961354810681,0.662554970325155,-136.177886607645
6,0.256620239748729,1.46767152886918,0.660072053772804,-138.662713934221
7,1.13916672505727,1.31208507344722,0.58542277203089,-137.30382708794
8,0.778461653348718,1.28248421288337,0.305633603190719,-135.124119599624
9,0.456545528750024,1.16615076129567,0.0747842499087416,-135.039344559817
10,0.360094383788592,1.40875597972665,0.101089380977137,-135.682037465165
11,0.584346634152637,1.22765837911758,0.872132227350082,-136.122795608803
12,0.354960211671825,1.39296772775382,0.845676503416385,-137.208361696825
13,0.498759501954577,1.07758135746375,0.135259346724184,-135.383714542172
14,0.723204612761362,1.50809674828455,0.0371495560126346,-134.399080160919
15,0.732415257040434,1.37137413306303,0.0951847109160417,-134.479117679191
16,0.799824404165468,1.39218466100331,0.0992880321051282,-134.647443527807
17,0.385229053357225,1.74720453455631,0.0251329151701395,-136.436864431475
18,0.580605342175093,1.18488453429711,0.136101361540586,-134.776533066376
19,0.553618063108277,1.08268915054907,0.0759267631289864,-135.122447247629
20,1.05393954135945,1.72305747004891,0.410429987396812,-136.645936883371
21,0.556018426220292,1.59871702338303,0.410936527045314,-135.428062444941
22,0.807041268700162,1.60038923327255,0.31922922769414,-135.282822697891
23,0.855545122313672,1.40557178132922,0.454165461067944,-135.536086236086
24,0.949043248218843,1.11141526163311,0.581922593176416,-136.934723491005
25,0.886539250516692,1.47465473978556,0.430250949672224,-135.605112302473
26,0.485910871702337,1.42431624057841,0.0566629876025852,-134.615650135946
27,0.479127645299564,1.49180523170619,0.560940350129128,-135.766496872048
28,0.758999472989495,1.24343027481338,0.609806477753135,-135.764947795975
29,0.782275388302622,1.65362432005392,0.304355026185777,-135.322520017793
30,1.42394391114341,1.83268416335383,0.168527977204121,-138.472076318135
31,0.720648769906593,1.80601655143349,0.143301282833404,-135.463455897028
32,0.839335186293228,1.74639455937817,0.0650435696132233,-135.243383636472
33,0.806702057717248,1.37245485662519,1.024230909538,-136.529193561208
34,0.320342222495673,1.26730597795307,0.0154202978592267,-135.969644968438
35,0.61639740257063,1.03847873238421,0.077367671141646,-135.358911046938
36,0.693979442881792,1.36992726432665,0.551578079494066,-135.326579853992
37,0.856332020371904,1.68075771797023,0.0249116598543461,-135.012968834212
38,1.05969816844104,1.40526365567428,0.162888212904418,-135.885339901541
39,0.498714164361275,1.38900456449994,0.128739222891394,-134.674280179687
40,0.962470796365818,1.36881340749608,0.0717564863097593,-135.244495591041
41,1.01107601571263,1.66017539944662,0.0813748004694967,-135.654813312269
42,0.410602977322638,1.8019634386263,0.0250259377659822,-136.458075361342
43,0.67066348573348,2.01249915551959,0.924832851836432,-138.129347690331
44,0.784011100251699,1.39813187978795,0.35899455842118,-135.119446210418
45,0.947478271420286,1.21967393676384,0.567453285741403,-136.465087570095
46,0.303397476517689,1.71702455919801,1.50653830017952,-140.375250383298
47,1.23119725092161,1.66529620885482,0.0668674470403766,-136.781258185684
48,1.00225671605053,1.30509891900799,0.174066973772816,-135.736810718725
49,0.737980288067593,1.56292437952577,0.150589419536571,-134.733731263371
50,0.619095279523644,1.91407857304072,0.164375218079562,-136.149720122668
51,0.82857282108147,1.48777852630807,0.0784134388600338,-134.707838130286
52,0.807674593178559,1.82018685694417,0.741894514813777,-136.803517847342
53,0.860331876770441,1.69539025404627,0.474729401583864,-135.963389173924
54,0.542770378392969,1.34956413462895,0.66663232408329,-135.606303885119
55,0.878612734807096,1.38737699158627,0.386093286158786,-135.495829969146
56,0.824089197049395,1.30588547007274,0.0998334540515371,-134.815265626469
57,0.604254242105887,1.175562497993,0.17361447149034,-134.874725252086
58,0.516189062791737,1.07976473338995,0.123082736921526,-135.300495379764
59,0.547103658369374,0.966825094579261,0.0340150836093013,-135.835470547601
60,1.36172023463832,1.38064848006937,0.092570489598896,-137.606017519936
61,0.948740569748599,1.39969302646291,0.0704379827386273,-135.153413215485
62,1.01723544774649,1.47309473316022,0.0822517644525392,-135.485002030389
63,0.653665611873121,1.16255761507326,0.648252707116044,-135.896230441704
64,0.622978374011968,1.27938404946016,0.464280453499545,-135.190498975954
65,0.5880664643305,1.22233368979195,1.80141740964557,-137.992565643604
66,0.816054380500304,1.42166355891512,0.9673174368679,-136.425660057367
67,0.58916963084765,1.57096042424799,0.818857279524498,-136.087772758599
68,0.684716910739744,1.44447833589637,0.664222703126253,-135.546308210053
69,0.756818790963377,1.47358258593487,0.402902450377155,-135.157051331048
70,1.07894352550074,1.01935188762908,0.374241084656003,-137.762399816327
71,1.11368967456097,1.9496167310583,0.33194907261063,-137.477231892969
72,0.457493547148127,1.42758756029183,0.71664548521613,-136.091226305234
73,0.487114899488543,1.17966190277331,1.02426974644917,-136.763097642927
74,0.41481823706816,1.29815297241986,0.058898624369303,-135.014431106675
75,0.560180889384869,1.34810719349323,0.00274206518317173,-134.244214613712
76,0.629006082820947,0.83547756344913,0.234870380265352,-137.524192581839
77,0.725195915756801,2.02358360454517,0.517802888701722,-137.31953727776
78,0.667920185447307,1.9602247088317,0.214971623319014,-136.411094778723
79,0.632804053855287,1.50267591174373,0.0814247816056159,-134.426308834783
80,0.534266422111468,1.98549093467707,1.63766305849252,-139.844159577487
81,1.04011612288648,1.8592857986089,1.80672550775842,-139.77985757842
82,1.2432009838823,1.18440925640196,0.650875445572882,-138.445495608755
83,0.319229298777432,1.10998748332599,0.309075028182008,-136.933511844056
84,0.644421822127545,1.24975787821562,1.14271242613093,-136.614490044381
85,0.735020753985856,1.09582614635909,0.213361939826589,-135.469621549967
86,0.694025337582798,1.58584951717932,0.453221950405529,-135.338180559569
87,0.707802312752239,1.75102791703447,1.27487767377564,-137.498900908483
88,0.511633680738516,1.13090998610622,0.449089452656938,-135.71637898337
89,0.417199398541472,1.33825921687438,0.0769427684110369,-135.023096870221
90,0.757304866266375,1.3884153265986,0.166307843711665,-134.668738999518
