"clade","pct_overlap","flag"
"accipitriformes",2.8,FALSE
"anabantiformes",15,FALSE
"anura",7.8e-15,FALSE
"araneae",3.4,FALSE
"asteraceae",3.2e-15,FALSE
"blattodea",31,FALSE
"brassicaceae",15,FALSE
"bryophyta",0.14,FALSE
"carabidae",3.5,FALSE
"carnivora",2.5,FALSE
"caudata",43,FALSE
"cetacea",39,FALSE
"characidae",36,FALSE
"chiroptera",2,FALSE
"chondrichthyes",0.0018,FALSE
"chrysomelidae",6.7,FALSE
"cichlidae",35,FALSE
"coccinellidae",53,TRUE
"cricetidae",0.032,FALSE
"curculionidae",68,TRUE
"cyprinidae",25,FALSE
"drosophilidae",44,FALSE
"dytiscidae",33,FALSE
"fabaceae",9.3,FALSE
"fungi",7,FALSE
"galliformes",1.1,FALSE
"gekkonidae",11,FALSE
"gobiidae",51,TRUE
"gymnospermae",14,FALSE
"hemiptera",25,FALSE
"hydrophilidae",63,TRUE
"hymenoptera",8.8e-05,FALSE
"iguania",3.6,FALSE
"lepidoptera",6.3e-15,FALSE
"liliaceae",7.6,FALSE
"magnoliaceae",5.2,FALSE
"marsupialia",68,TRUE
"muridae",2.5,FALSE
"nothobranchiidae",2.8,FALSE
"odonata",20,FALSE
"orchidaceae",1.8e-14,FALSE
"orthoptera",57,TRUE
"passeriformes",0.17,FALSE
"passifloraceae",47,FALSE
"phasmatodea",40,FALSE
"primates",2.6,FALSE
"pteridophyta",0.08,FALSE
"rubiaceae",15,FALSE
"scarabidae",39,FALSE
"scincoidea",39,FALSE
"scorpiones",8.5,FALSE
"serpentes",7.2,FALSE
"siluriformes",2.2e-08,FALSE
"solanaceae",21,FALSE
"tenebrionidae",57,TRUE
"testudines",24,FALSE
