"clade","variance_flag","entropy_flag"
"accipitriformes.PPS.csv",FALSE,FALSE
"anabantiformes.PPS.csv",FALSE,FALSE
"anura.PPS.csv",FALSE,FALSE
"araneae.PPS.csv",FALSE,FALSE
"asteraceae.PPS.csv",FALSE,TRUE
"blattodea.PPS.csv",FALSE,FALSE
"brassicaceae.PPS.csv",TRUE,FALSE
"bryophyta.PPS.csv",FALSE,FALSE
"carabidae.PPS.csv",FALSE,FALSE
"carnivora.PPS.csv",FALSE,FALSE
"caudata.PPS.csv",FALSE,TRUE
"cetacea.PPS.csv",FALSE,FALSE
"characidae.PPS.csv",FALSE,FALSE
"chiroptera.PPS.csv",FALSE,FALSE
"chondrichthyes.PPS.csv",FALSE,FALSE
"chrysomelidae.PPS.csv",TRUE,FALSE
"cichlidae.PPS.csv",FALSE,FALSE
"coccinellidae.PPS.csv",FALSE,FALSE
"cricetidae.PPS.csv",FALSE,FALSE
"curculionidae.PPS.csv",FALSE,FALSE
"cyprinidae.PPS.csv",FALSE,FALSE
"drosophilidae.PPS.csv",FALSE,FALSE
"dytiscidae.PPS.csv",FALSE,FALSE
"fabaceae.PPS.csv",TRUE,TRUE
"fungi.PPS.csv",FALSE,FALSE
"galliformes.PPS.csv",FALSE,TRUE
"gekkonidae.PPS.csv",FALSE,FALSE
"gobiidae.PPS.csv",FALSE,FALSE
"gymnospermae.PPS.csv",FALSE,FALSE
"hemiptera.PPS.csv",FALSE,FALSE
"hydrophilidae.PPS.csv",FALSE,FALSE
"hymenoptera.PPS.csv",FALSE,FALSE
"iguania.PPS.csv",FALSE,FALSE
"lepidoptera.PPS.csv",TRUE,TRUE
"liliaceae.PPS.csv",FALSE,FALSE
"magnoliaceae.PPS.csv",TRUE,FALSE
"marsupialia.PPS.csv",FALSE,FALSE
"muridae.PPS.csv",FALSE,FALSE
"nothobranchiidae.PPS.csv",FALSE,FALSE
"odonata.PPS.csv",FALSE,FALSE
"orchidaceae.PPS.csv",FALSE,TRUE
"orthoptera.PPS.csv",FALSE,FALSE
"passeriformes.PPS.csv",FALSE,TRUE
"passifloraceae.PPS.csv",FALSE,FALSE
"phasmatodea.PPS.csv",FALSE,FALSE
"primates.PPS.csv",FALSE,FALSE
"pteridophyta.PPS.csv",FALSE,FALSE
"rubiaceae.PPS.csv",TRUE,TRUE
"scarabidae.PPS.csv",FALSE,FALSE
"scincoidea.PPS.csv",FALSE,FALSE
"scorpiones.PPS.csv",TRUE,TRUE
"serpentes.PPS.csv",FALSE,FALSE
"siluriformes.PPS.csv",TRUE,TRUE
"solanaceae.PPS.csv",FALSE,FALSE
"tenebrionidae.PPS.csv",FALSE,FALSE
"testudines.PPS.csv",FALSE,FALSE
