Clade,Higher Classification
anabantiformes,Actinopterygii
characiformes,Actinopterygii
cichlidae,Actinopterygii
cyprinidae,Actinopterygii
gobiidae,Actinopterygii
nothobranchiidae,Actinopterygii
siluriformes,Actinopterygii
anura,Amphibia
caudata,Amphibia
asteraceae,Angiosperm
brassicaceae,Angiosperm
fabaceae,Angiosperm
liliaceae,Angiosperm
magnoliaceae,Angiosperm
orchidaceae,Angiosperm
passifloraceae,Angiosperm
rubiaceae,Angiosperm
solanaceae,Angiosperm
araneae,Arachnida
scorpiones,Arachnida
bryophytes,Bryophyta
chondrichthyes,Chondrichthyes
fungi,Fungi
gymnospermae,Gymnosperms
blattodea,Insecta
carabidae,Insecta
chrysomelidae,Insecta
coccinellidae,Insecta
curculionidae,Insecta
drosophilidae,Insecta
dytiscidae,Insecta
hemiptera,Insecta
hydrophilidae,Insecta
hymenoptera,Insecta
lepidoptera,Insecta
odonata,Insecta
orthoptera,Insecta
phasmatodea,Insecta
scarabaeoidea,Insecta
tenebrionidae,Insecta
carnivora,Mammalia
cetacea,Mammalia
chiroptera,Mammalia
cricetidae,Mammalia
marsupialia,Mammalia
muridae,Mammalia
primates,Mammalia
pteridophytes,Pteridophytes
accipitriformes,Reptilia
galliformes,Reptilia
gekkonidae,Reptilia
iguania,Reptilia
passeriformes,Reptilia
scincoidea,Reptilia
serpentes,Reptilia
testudines,Reptilia
