"i","asc1","desc1","dem1","p"
1,0.607359510250071,0.523732245232847,0.992140069966361,-215.47034165977
2,0.457182947710396,0.227249173478509,0.528479287724464,-208.180667494512
3,0.992952898620736,0.347412893227319,0.488062869363141,-208.484453716927
4,0.52596721326685,0.407125974327964,0.447340307599915,-206.492920634521
5,0.786094932388421,0.387474500790193,0.372598455130173,-206.406573479006
6,0.82427583351501,0.317270141522755,0.454245193896082,-206.629334784519
7,0.742789308227174,0.229010808693461,0.265719184098018,-207.357596846036
8,0.74461341137396,0.293678098733036,0.455702961492314,-206.211177064685
9,0.68417017134601,0.355012255706979,0.241103751581085,-207.232028078653
10,0.771125967672833,0.372341872460073,0.626109670126389,-208.119406603775
11,0.707879203293858,0.222772152777432,0.181866950332696,-209.61249608614
12,0.693693502253593,0.472278192847763,0.565580735202477,-207.750650275451
13,0.491187537209478,0.393963520796965,0.431226371443768,-206.6162937622
14,0.630092723131476,0.331146041511433,0.32778302438813,-205.971601749864
15,0.681272622305956,0.228341851730706,0.432890841312793,-206.395259190262
16,0.646324493701617,0.383957106106481,0.243009797805795,-207.275046392756
17,0.640149416291576,0.220608623557184,0.273347384214097,-207.180915599145
18,0.661621762096372,0.441170655130969,0.436626375023968,-206.406388682081
19,0.494679445100106,0.674202296705265,0.313497224151246,-209.035243374197
20,0.449110959991043,0.243379614858583,0.330812302394213,-207.590749466454
21,0.591173308071842,0.488414128620803,0.355268734805251,-206.817310451877
22,0.601571270249737,0.303934104563401,0.446666403537761,-205.965695079807
23,0.875307278960468,0.299300265894584,0.419798852309286,-206.908848227693
24,0.739249071008805,0.381100712659154,0.449752034651819,-206.280531250317
25,0.711177229066783,0.485877288742093,0.257110278812519,-207.916980226721
26,0.631389496079296,0.286464081897963,0.720943759390959,-209.12560925716
27,0.819381235741711,0.289092872715755,0.511229355896453,-207.043895941808
28,0.895093632361001,0.401187031501151,0.293342366529787,-207.793718685421
29,0.636368887696496,0.447195864103144,0.260248842091874,-207.371763193064
30,0.588091177063891,0.483224044141701,0.224723681206279,-208.538892366323
31,0.597781270496872,0.310967058857626,0.548025823941092,-206.734104508043
32,0.704467224972833,0.315551753079446,0.646163503683741,-208.001203325724
33,0.447580621154343,0.4113154500922,0.315324550431122,-207.380039688776
34,0.560531339378362,0.511750123775328,0.76206937675278,-210.865986830243
35,0.553903125695588,0.211260469604138,0.416309416959801,-206.85301786328
36,0.721404189670475,0.453531703095077,0.324476186386117,-206.792906529814
37,0.602890208557264,0.440526338764523,0.484030234255364,-206.65092835949
38,0.478603447186926,0.487150661880217,0.391193519753424,-207.167068321072
39,0.626666775974383,0.373727653408489,0.48532051714953,-206.237350584911
40,0.747245593764757,0.438807605473844,0.512154807604729,-207.127713950814
41,0.660190934642193,0.308823949348232,0.621716953755419,-207.579964478275
42,0.50065646981911,0.579731224793086,0.43755670278678,-207.861082741718
43,0.668695680658308,0.94314750629848,0.390989549135512,-213.060823856922
44,0.681184039123672,0.138305292195925,0.274971106465629,-209.203222424105
45,0.709070028451734,0.251096305747903,0.388181496220006,-206.130660987497
46,0.575867330817271,0.389819936988327,0.364521599648817,-206.090553251203
47,0.748960636609975,0.444257973283753,0.317379384682032,-206.876665075733
48,0.523840025374834,0.418892458851273,0.428308652541549,-206.501282481097
49,0.735140264108945,0.461885504130599,0.428531270927358,-206.766628451758
50,0.680042569381752,0.501295191174497,0.35686563281248,-206.980146511143
51,0.581723278222057,0.283303263552179,0.447798378426466,-206.097649943908
52,0.722894723890234,0.271967940384002,0.453377528995905,-206.20369158285
53,0.757990920115147,0.371126186446523,0.396670187873201,-206.166994199546
54,0.948210329676962,0.366416641631192,0.465160847261926,-207.89365921729
55,1.01489711632582,0.379824321199447,0.308709543281525,-208.775421425626
56,0.65229337207961,0.410037046122157,0.533359315784227,-206.834408664181
57,0.484196785053342,0.284639065274823,0.543769259878627,-207.453406763835
58,0.480923869324554,0.277292436123832,0.587148890689748,-208.002700834378
59,0.766187821914175,0.37505529788954,0.272062261488561,-207.015421884434
60,0.632183966883196,0.315149472008252,0.325378183161622,-205.98595125577
61,0.553631922826187,0.367025076922472,0.529482867454892,-206.751652228863
62,0.595429301948262,0.367491157770599,0.413302276125718,-205.926617723021
63,0.684815227274759,0.348863549693621,0.484598026250479,-206.197029302635
64,0.679830307361645,0.243906999228843,0.326560621199835,-206.338325365796
65,0.661520079803965,0.426389711459631,0.309439692509341,-206.552293659803
66,0.589915813274062,0.35620675521074,0.501161268021023,-206.352759529888
67,0.591523046070083,0.246183653863858,0.320769531237141,-206.441048129131
68,0.858364145667596,0.285393552986802,0.459123153705091,-206.972968462827
69,0.510689409702918,0.312558820459757,0.459622295128453,-206.465522263899
70,0.807090424381712,0.286479292501684,0.461990826749222,-206.609122584048
71,0.595239167318989,0.425251189735283,0.32384802993292,-206.456259439237
72,0.561838139097457,0.342014207241841,0.516860472372715,-206.5500725894
73,0.674823517092769,0.331447769205982,0.18162135840189,-208.99751089193
74,0.677658233064706,0.362587114201891,0.528476725760871,-206.586821414743
75,0.707481116679742,0.386448381499578,0.279117419142162,-206.735328857551
76,0.51409426370567,0.364809280393778,0.351843452989328,-206.365401269296
77,0.653980650406315,0.410995079414614,0.431779155950267,-206.15780980025
78,0.874460270936946,0.412986810090654,0.441291556531961,-207.317122241313
79,0.359737170720654,0.498951206942904,0.415746004917596,-208.297557464176
80,0.741035768006234,0.274138423149146,0.369977214039241,-206.099475180982
81,0.655549769372939,0.308413202591395,0.424308566839993,-205.828348527555
82,0.882148510108811,0.260668179941729,0.359286233144245,-207.118669957254
83,0.897213738675934,0.463910272319278,0.435365636976861,-207.916330991279
84,0.717995401770349,0.325589883796073,0.423216648053162,-205.939540606627
85,0.757222204145978,0.407270259023045,0.37066341746965,-206.374874279592
86,0.685851261627862,0.424505395190888,0.516322490735813,-206.832797145942
87,0.60892703485664,0.462893032277108,0.494044434753093,-206.898243458885
88,0.713160669935108,0.319519423652665,0.260240508899753,-206.862920948826
89,0.549666710947096,0.586698842402823,0.28870067789775,-208.396551293587
90,0.749338839863992,0.615636601312467,0.423359814963117,-208.663962196636
91,0.581113318875433,0.246123877020609,0.470249998572215,-206.488375444422
92,0.725597843851528,0.28096559164166,0.482958732825148,-206.350244486927
93,0.609819264940551,0.545819192977479,0.427059064569513,-207.374793683901
94,0.597314291794088,0.614888191024831,0.431657803646776,-208.165148170894
95,0.771398056807652,0.204074905418913,0.333662298098932,-207.106358912434
96,0.594161249445816,0.324782847901934,0.367621250684495,-205.854391095328
97,0.649741361732553,0.327251693201907,0.452069532727251,-205.92734121547
98,0.566647960920776,0.503181997773445,0.582503330119974,-208.156885149038
99,0.877852478646631,0.6208089745412,0.258428014203016,-210.623201990769
100,0.311206079513183,0.523156205076524,0.263461096677339,-210.040488043053
101,0.468431392795397,0.56525549581233,0.516933049592839,-208.320870919796
102,0.36313121679106,0.839205494465001,0.63796639402833,-213.007428598289
103,0.601590250959289,0.462366846320676,0.304400458604357,-206.914385642141
104,0.624324649237994,0.456067883849569,0.492279674451289,-206.820632390598
105,0.521738688634614,0.210460552798965,0.581954558835711,-208.334673380584
106,0.496178921019564,0.167817034567707,0.526198367947066,-208.973721729631
107,0.638992800721211,0.421096490580723,0.526410535801527,-206.834138562056
108,0.661856323126015,0.380755209367245,0.46713087156279,-206.160946253527
109,0.514443309879483,0.255826187031196,0.456948316040305,-206.717208877476
110,0.474939322164494,0.248815069390228,0.468661827035327,-207.237909218641
111,0.661910637285368,0.300857770145367,0.425690229251686,-205.850214624193
112,0.652842365826444,0.344152828192791,0.367669961172355,-205.810282344614
113,0.643460902778023,0.280872651802181,0.473457178837324,-206.14032813701
114,0.70382217461813,0.208590653740214,0.382921307618434,-206.637081677971
