Class,Order,Family,Species,Common Name,Cvalue
Amphibia,Anura,Arthroleptidae,Arthroleptis stenodactylus,Common squeaker,3.37
Amphibia,Anura,Ascaphidae,Ascaphus truei,Tailed frog,3.95
Amphibia,Anura,Ascaphidae,Ascaphus truei,Tailed frog,4.1
Amphibia,Anura,Ascaphidae,Ascaphus truei,Tailed frog,4.22
Amphibia,Anura,Ascaphidae,Ascaphus truei,Tailed frog,4.26
Amphibia,Anura,Bombinatoridae,Bombina bombina,European fire-bellied toad,10.3
Amphibia,Anura,Bombinatoridae,Bombina bombina,European fire-bellied toad,10.57
Amphibia,Anura,Bombinatoridae,Bombina bombina,European fire-bellied toad,10.92
Amphibia,Anura,Bombinatoridae,Bombina bombina,European fire-bellied toad,11.85
Amphibia,Anura,Bombinatoridae,Bombina bombina,European fire-bellied toad,12.26
Amphibia,Anura,Bombinatoridae,Bombina bombina,European fire-bellied toad,12.4
Amphibia,Anura,Bombinatoridae,Bombina orientalis,Oriental fire-bellied toad,5.9
Amphibia,Anura,Bombinatoridae,Bombina orientalis,Oriental fire-bellied toad,8.4
Amphibia,Anura,Bombinatoridae,Bombina orientalis,Oriental fire-bellied toad,10.25
Amphibia,Anura,Bombinatoridae,Bombina pachypus,Appenine yellow-bellied toad,10.55
Amphibia,Anura,Bombinatoridae,Bombina variegata,Yellow-bellied toad,6.9
Amphibia,Anura,Bombinatoridae,Bombina variegata,Yellow-bellied toad,8.75
Amphibia,Anura,Bombinatoridae,Bombina variegata,Yellow-bellied toad,9.15
Amphibia,Anura,Bombinatoridae,Bombina variegata,Yellow-bellied toad,9.17
Amphibia,Anura,Bombinatoridae,Bombina variegata,Yellow-bellied toad,9.6
Amphibia,Anura,Bombinatoridae,Bombina variegata,Yellow-bellied toad,9.8
Amphibia,Anura,Bombinatoridae,Bombina variegata scabra,Yellow-bellied toad,10.72
Amphibia,Anura,Bombinatoridae,Bombina variegata variegata,Yellow-bellied toad,10.36
Amphibia,Anura,Bufonidae,Atelopus flavescens,Toad,6.86
Amphibia,Anura,Bufonidae,Atelopus sp.,Toad,3.56
Amphibia,Anura,Bufonidae,Bufo alvarius,Colorado river toad,5.65
Amphibia,Anura,Bufonidae,Bufo americanus,American toad,4.34
Amphibia,Anura,Bufonidae,Bufo americanus,American toad,4.91
Amphibia,Anura,Bufonidae,Bufo americanus,American toad,5
Amphibia,Anura,Bufonidae,Bufo americanus,American toad,5.23
Amphibia,Anura,Bufonidae,Bufo americanus,American toad,6.35
Amphibia,Anura,Bufonidae,Bufo andrewsi,Toad,5.88
Amphibia,Anura,Bufonidae,Bufo arabicus,Arabian toad,5.99
Amphibia,Anura,Bufonidae,Bufo brongersmai,Brongersma's toad,5.7
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,5.82
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,5.93
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,6.03
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,6.13
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,6.2
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,6.6
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,6.9
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,7.3
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,7.4
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,7.5
Amphibia,Anura,Bufonidae,Bufo bufo,Common toad,7.75
Amphibia,Anura,Bufonidae,Bufo calamita,Natterjack toad,4.01
Amphibia,Anura,Bufonidae,Bufo calamita,Natterjack toad,4.03
Amphibia,Anura,Bufonidae,Bufo calamita,Natterjack toad,4.13
Amphibia,Anura,Bufonidae,Bufo calamita,Natterjack toad,4.16
Amphibia,Anura,Bufonidae,Bufo calamita,Natterjack toad,4.36
Amphibia,Anura,Bufonidae,Bufo calamita,Natterjack toad,4.75
Amphibia,Anura,Bufonidae,Bufo calamita,Natterjack toad,5.5
Amphibia,Anura,Bufonidae,Bufo calamita,Natterjack toad,5.7
Amphibia,Anura,Bufonidae,Bufo cognatus,Great plains toad,5.6
Amphibia,Anura,Bufonidae,Bufo crucifer,Crucifer toad,3.15
Amphibia,Anura,Bufonidae,Bufo debilis,Western green toad,5.3
Amphibia,Anura,Bufonidae,Bufo fowleri,Fowler's toad,4.75
Amphibia,Anura,Bufonidae,Bufo fowleri,Fowler's toad,5
Amphibia,Anura,Bufonidae,Bufo fowleri,Fowler's toad,5.29
Amphibia,Anura,Bufonidae,Bufo fowleri,Fowler's toad,5.29
Amphibia,Anura,Bufonidae,Bufo fowleri,Fowler's toad,7.1
Amphibia,Anura,Bufonidae,Bufo gargarizans,Chinese toad,5.6
Amphibia,Anura,Bufonidae,Bufo granulosus,Toad,4.23
Amphibia,Anura,Bufonidae,Bufo ictericus,Toad,2.91
Amphibia,Anura,Bufonidae,Bufo koynayensis,Toad,3.61
Amphibia,Anura,Bufonidae,Bufo latastii,Toad,8
Amphibia,Anura,Bufonidae,Bufo maculatus,Flat-backed toad,3.31
Amphibia,Anura,Bufonidae,Bufo marinus,Cane toad,3.98
Amphibia,Anura,Bufonidae,Bufo marinus,Cane toad,4.01
Amphibia,Anura,Bufonidae,Bufo marinus,Cane toad,4.22
Amphibia,Anura,Bufonidae,Bufo marinus,Cane toad,4.64
Amphibia,Anura,Bufonidae,Bufo marinus,Cane toad,4.88
Amphibia,Anura,Bufonidae,Bufo marinus,Cane toad,5.45
Amphibia,Anura,Bufonidae,Bufo marinus,Cane toad,5.46
Amphibia,Anura,Bufonidae,Bufo marinus,Cane toad,5.65
Amphibia,Anura,Bufonidae,Bufo melanostictus,Black-spined toad,6.02
Amphibia,Anura,Bufonidae,Bufo paracnemis,Rococo toad,3.29
Amphibia,Anura,Bufonidae,Bufo pardalis,Leopard toad,7.31
Amphibia,Anura,Bufonidae,Bufo punctatus,Red-spotted toad,5.3
Amphibia,Anura,Bufonidae,Bufo quercicus,Oak toad,3.32
Amphibia,Anura,Bufonidae,Bufo raddei,Radde's toad,4.9
Amphibia,Anura,Bufonidae,Bufo regularis,Square-marked toad,3.15
Amphibia,Anura,Bufonidae,Bufo regularis,Square-marked toad,3.99
Amphibia,Anura,Bufonidae,Bufo regularis,Square-marked toad,4.45
Amphibia,Anura,Bufonidae,Bufo retiformis,Sonoran green toad,6.7
Amphibia,Anura,Bufonidae,Bufo sp.,Toad,3.67
Amphibia,Anura,Bufonidae,Bufo terrestris,Southern toad,4.01
Amphibia,Anura,Bufonidae,Bufo terrestris,Southern toad,4.49
Amphibia,Anura,Bufonidae,Bufo terrestris,Southern toad,5.45
Amphibia,Anura,Bufonidae,Bufo terrestris,Southern toad,5.5
Amphibia,Anura,Bufonidae,Bufo terrestris,Southern toad,5.55
Amphibia,Anura,Bufonidae,Bufo valliceps,Gulf coast toad,4.6
Amphibia,Anura,Bufonidae,Bufo verrucosissimus,Toad,6.8
