Family,Genus,Species,Subspecies,Cvalue,Source
Asteraceae,Leontodon,longirostris,,0.4,"Marañón and Grubb,1993"
Asteraceae,Conyza,canadensis,,0.45,"Kubešová et al.,2010"
Asteraceae,Melampodium,linearilobum,,0.49,"Weiss-Schneeweiss et al.,2012"
Asteraceae,Pericallis,appendiculata,,0.55,"Suda et al.,2003"
Asteraceae,Logfia,gallica,,0.56,"Andrés-Sánchez et al.,2013"
Asteraceae,Inula,helenioides,,0.56,"Garcia et al.,2013"
Asteraceae,Pericallis,webbii,,0.57,"Suda et al.,2003"
Asteraceae,Logfia,minima,,0.57,"Andrés-Sánchez et al.,2013"
Asteraceae,Pericallis,lanata,,0.58,"Suda et al.,2003"
Asteraceae,Senecio,inaequidens (s.l.),,0.58,"Lafuma et al.,2003"
Asteraceae,Logfia,clementei,,0.58,"Andrés-Sánchez et al.,2013"
Asteraceae,Ifloga,spicata,,0.58,"Andrés-Sánchez et al.,2013"
Asteraceae,Pericallis,multiflora,,0.59,"Suda et al.,2005"
Asteraceae,Pericallis,papyracea,,0.6,"Suda et al.,2003"
Asteraceae,Facelis,retusa,,0.61,"Garcia et al.,2013"
Asteraceae,Filago,crocidion,,0.63,"Andrés-Sánchez et al.,2013"
Asteraceae,Filago,nevadensis,,0.63,"Andrés-Sánchez et al.,2013"
Asteraceae,Gamochaeta,americana,,0.64,"Garcia et al.,2013"
Asteraceae,Filago,ramosissima,,0.65,"Andrés-Sánchez et al.,2013"
Asteraceae,Filago,arvensis,,0.65,"Andrés-Sánchez et al.,2013"
Asteraceae,Aetheorhiza,bulbosa,,0.66,"Veselý et al.,2012"
Asteraceae,Filago,gaditana,,0.67,"Andrés-Sánchez et al.,2013"
Asteraceae,Filago,pygmaea,,0.67,"Andrés-Sánchez et al.,2013"
Asteraceae,Filago,pyramidata,,0.67,"Andrés-Sánchez et al.,2013"
Asteraceae,Filago,lusitanica,,0.67,"Andrés-Sánchez et al.,2013"
Asteraceae,Filago,discolor,,0.67,"Andrés-Sánchez et al.,2013"
Asteraceae,Cheirolophus,falcisectus,,0.68,"Garnatje et al.,2007"
Asteraceae,Pericallis,cruenta,,0.68,"Suda et al.,2003"
Asteraceae,Cheirolophus,metlesicsii,,0.68,"Garnatje et al.,2007"
Asteraceae,Filago,duriaei,,0.68,"Andrés-Sánchez et al.,2013"
Asteraceae,Cheirolophus,junonianus,,0.69,"Garnatje et al.,2007"
Asteraceae,Sonchus,asper,,0.69,"Garcia et al.,2013"
Asteraceae,Filago,fuscescens,,0.69,"Andrés-Sánchez et al.,2013"
Asteraceae,Cheirolophus,canariensis,var. subexpinnatus (Burchard) Hansen & Sunding,0.69,"Suda et al.,2005"
Asteraceae,Cheirolophus,canariensis,,0.69,"Garnatje et al.,2007"
Asteraceae,Cheirolophus,taganensis,,0.69,"Garnatje et al.,2007"
Asteraceae,Cheirolophus,teydis,,0.69,"Garnatje et al.,2007"
Asteraceae,Filago,lutescens,subsp. lutescens,0.69,"Andrés-Sánchez et al.,2013"
Asteraceae,Cheirolophus,arbutifolius,,0.7,"Garnatje et al.,2007"
Asteraceae,Filago,congesta,,0.7,"Andrés-Sánchez et al.,2013"
Asteraceae,Cheirolophus,arboreus,,0.7,"Garnatje et al.,2007"
Asteraceae,Filago,vulgaris,,0.71,"Andrés-Sánchez et al.,2013"
Asteraceae,Cheirolophus,ghomerythus,,0.71,"Garnatje et al.,2007"
Asteraceae,Filago,carpetana,,0.71,"Andrés-Sánchez et al.,2013"
Asteraceae,Cheirolophus,burchardii,,0.71,"Garnatje et al.,2007"
Asteraceae,Centaurea,cyanus,,0.71,"Garcia et al.,2013"
Asteraceae,Filago,micropodioides,,0.71,"Andrés-Sánchez et al.,2013"
Asteraceae,Crepis,cretica,,0.72,"Garcia et al.,2013"
Asteraceae,Cheirolophus,massonianus,,0.72,"Garnatje et al.,2007"
Asteraceae,Filago,argentea,,0.72,"Andrés-Sánchez et al.,2013"
Asteraceae,Pericallis,echinata,,0.73,"Suda et al.,2003"
Asteraceae,Centaurea,hololeuca,,0.73,"Bou Dagher-Kharrat et al.,2013"
Asteraceae,Cyanus,segetum,,0.74,"Bancheva & Greilhuber,2006"
Asteraceae,Filago,desertorum,,0.73,"Andrés-Sánchez et al.,2013"
Asteraceae,Bombycilaena,discolor,,0.73,"Andrés-Sánchez et al.,2013"
Asteraceae,Cheirolophus,grandifolius,,0.74,"Garcia et al.,2008"
Asteraceae,Staehelina,petiolata,,0.75,"Garnatje et al.,2004"
Asteraceae,Filago,griffithii,,0.75,"Andrés-Sánchez et al.,2013"
Asteraceae,Gamochaeta,coarctata,,0.75,"Garcia et al.,2013"
Asteraceae,Pericallis,tussilaginis,,0.75,"Suda et al.,2005"
