"","variance","entropy"
"empirical",8.12912052536698,2.1380957401478
"sim_1",3.13562322946175,1.88381197063524
"sim_2",1.9870428792171,1.73336357450302
"sim_3",2.7535893638939,1.7315477231178
"sim_4",2.12873422611382,1.66553799304634
"sim_5",4.21532964202936,1.91096895495017
"sim_6",3.6700843420036,1.88612446672678
"sim_7",5.57861189801698,1.98967750411423
"sim_8",1.25093355652845,1.49132595383585
"sim_9",2.66626963687871,1.6981037164891
"sim_10",4.383917074427,1.90681778266803
"sim_11",2.42014872521247,1.68242452981633
"sim_12",3.44121813031162,1.73089187186276
"sim_13",2.4315123615761,1.74942514750441
"sim_14",2.68954416688128,1.79974246623589
"sim_15",3.82735642544424,1.80592060390643
"sim_16",9.31124452742725,2.30897271524238
"sim_17",3.976693278393,1.63451432510642
"sim_18",4.63575199587946,1.90263747077748
"sim_19",3.9965072109194,1.89742431043565
"sim_20",1.61782127221221,1.61334592849651
"sim_21",2.38365954159156,1.7439532027427
"sim_22",5.06921194952356,1.87487500601796
"sim_23",2.86613121297965,1.86270139820557
"sim_24",3.77898853978883,1.71014424774193
"sim_25",4.56858421323717,2.04768023034721
"sim_26",26.1697141385527,2.54053498149869
"sim_27",4.49319147566315,1.87628895155209
"sim_28",3.6066024980685,1.883267871531
"sim_29",1.96268993046614,1.66980268677317
"sim_30",1.88454481071337,1.63067153602669
"sim_31",4.30450038629925,1.99065447222628
"sim_32",6.39663275817667,2.0183978903444
"sim_33",4.98504699974247,1.99088349576029
"sim_34",2.73892608807623,1.87982579524448
"sim_35",3.45776461498841,1.66487851525656
"sim_36",7.41153747102755,2.16834703511638
"sim_37",4.91628573268091,1.9217037851225
"sim_38",10.7118046613443,2.28899038022496
"sim_39",2.23960211176925,1.69852277130888
"sim_40",4.00698557816121,1.7531442928608
"sim_41",2.76081637908833,1.81751887489944
"sim_42",3.05648016997166,1.850872108044
"sim_43",2.1441540046356,1.7488329749688
"sim_44",2.2960661859387,1.70361812769967
"sim_45",5.59472379603401,1.8792155268642
"sim_46",2.79991308266804,1.8340199619573
"sim_47",5.07767834148856,2.04594811089135
"sim_48",2.29493947978365,1.68963608922358
"sim_49",3.06525238217873,1.91933530844556
"sim_50",1.59774980685037,1.53046425302835
"sim_51",12.9141127993819,2.54821528757785
"sim_52",2.64576358485707,1.77272318351444
"sim_53",2.22123680144218,1.74452988577259
"sim_54",9.98301892866337,1.97449943717759
"sim_55",1.77853785732681,1.68080908093925
"sim_56",7.30945789338142,2.17391967779751
"sim_57",5.03914499098634,2.11920942911932
"sim_58",1.94807494205511,1.67908497798729
"sim_59",1.85760043780582,1.62582929027249
"sim_60",23.7720995364408,2.52974381222413
"sim_61",4.1843452227659,2.04916932581185
"sim_62",8.97796484676796,2.37038794236565
"sim_63",4.37823525624518,1.9613355299654
"sim_64",11.5737348699459,2.20915708145488
"sim_65",2.05688256502704,1.70705475559606
"sim_66",10.0059715426217,2.01393556899193
"sim_67",8.29738604172034,2.13395705064961
"sim_68",3.08855910378574,1.8922486629569
"sim_69",2.33846252897244,1.63057045647695
"sim_70",12.14178792171,2.15982905084333
"sim_71",13.9250096574813,2.41304027418572
"sim_72",13.040319984548,2.29473652637132
"sim_73",1.68846574813289,1.63331505502735
"sim_74",2.9343452227659,1.85011136314434
"sim_75",10.3359032964203,2.34029449991246
"sim_76",2.79436003090394,1.72293333846325
"sim_77",3.87775238217873,1.86215688894925
"sim_78",3.0140355395313,1.81131448282426
"sim_79",2.72315220190573,1.7822030970444
"sim_80",4.15868851403554,2.01473342789155
"sim_81",2.47188063353078,1.72994445099962
"sim_82",1.61720963172805,1.55000697974167
"sim_83",3.41055562709248,1.78172995965752
"sim_84",2.48805691475663,1.77498517856362
"sim_85",11.9223860417203,2.36219022925455
"sim_86",2.31100309039403,1.67702173340322
"sim_87",2.88139003347927,1.75286699534857
"sim_88",6.30664112799383,2.0719005917613
"sim_89",3.95589750193149,1.85251931908622
"sim_90",4.77507725985063,2.06958636980928
"sim_91",2.15551764099923,1.74025158489417
"sim_92",1.43051442183878,1.5402715064477
"sim_93",2.90648338913209,1.83272833443759
"sim_94",7.84053888745815,2.2884414581204
"sim_95",11.9896825907803,2.29829681846188
"sim_96",3.7819018799897,1.85570951412351
"sim_97",6.45407867628121,1.97509055132963
"sim_98",4.89853206283801,2.03899703358861
"sim_99",4.13419070306464,1.99232904324834
"sim_100",4.0922289466907,1.99547190997931
"sim_101",2.07907867628122,1.74997735480454
"sim_102",4.97999291784703,2.13502015431846
"sim_103",4.55176409992275,1.8378388239738
"sim_104",3.48446755086273,1.98289481964703
"sim_105",5.28851725469996,2.12729956794348
"sim_106",4.50754893123872,2.00181258984034
"sim_107",19.1243883595159,2.41866364148194
"sim_108",2.52375740406901,1.56780136443292
"sim_109",7.80252060262686,2.28383431502576
"sim_110",5.12350309039402,1.8938250566891
"sim_111",2.33239441153747,1.662584309365
"sim_112",9.59499742467165,1.98832074149753
"sim_113",7.30000965748129,1.92716402657808
"sim_114",2.45380504764357,1.80372994622029
"sim_115",4.03489569920165,1.94497743139041
"sim_116",4.10660249806851,2.05358235637185
"sim_117",1.99851918619624,1.681882866933
"sim_118",5.69535475148081,2.13970370565388
"sim_119",11.4266836209117,2.20792348747304
