"","variance","entropy"
"sim_165",2.84057971014493,1.81598324595316
"sim_166",3.11413043478261,1.72346922338074
"sim_167",3.60688405797101,1.85194350500963
"sim_168",3.71014492753623,1.74480877222909
"sim_169",1.73913043478261,1.63216847001252
"sim_170",3.53623188405797,1.67222145847645
"sim_171",7.58695652173913,2.08420106672699
"sim_172",5.91304347826087,1.98927004109315
"sim_173",4.54347826086957,1.78774598856978
"sim_174",5.91123188405797,1.83135000055016
"sim_175",6.54891304347826,1.88334380984332
"sim_176",5.06521739130435,2.04824080767052
"sim_177",4.69384057971014,2.05876878847118
"sim_178",1.63586956521739,1.53844594590938
"sim_179",5.5054347826087,1.69402346446664
"sim_180",1.82427536231884,1.24132407211247
"sim_181",3.79710144927536,1.75533675302975
"sim_182",4.17391304347826,1.8502677786636
"sim_183",5.18840579710145,1.75942948243721
"sim_184",5.47826086956522,2.10600307271718
"sim_185",1.79710144927536,1.49121166166338
"sim_186",5.32608695652174,1.98927004109315
"sim_187",4.84057971014493,1.91091427158701
"sim_188",3.69384057971014,1.81719174748387
"sim_189",2.80978260869565,1.77070350762675
"sim_190",4.38949275362319,1.95740251144414
"sim_191",5.98369565217391,2.10888730059393
"sim_192",1.67934782608696,1.40002956948836
"sim_193",7.34601449275362,1.98283478969995
"sim_194",2.31884057971014,1.62861744649607
"sim_195",2.67934782608696,1.82437304326595
"sim_196",4.21557971014493,2.0151647764908
"sim_197",3.69384057971015,1.87086128312307
"sim_198",4.69384057971015,1.53844594590938
"sim_199",5.95471014492754,1.93150777604648
"sim_200",5.93478260869565,1.91091427158701
"sim_201",3.69384057971015,1.66449845680336
"sim_202",6.42753623188406,1.94278180123602
"sim_203",5.6231884057971,2.05951483286006
"sim_204",2.2536231884058,1.63914542729673
"sim_205",3.15217391304348,1.72226072185002
"sim_206",5.33152173913043,2.0151647764908
"sim_207",11.8840579710145,1.91379849946376
"sim_208",4.78260869565217,1.90970577005629
"sim_209",9.04166666666667,1.95740251144413
"sim_210",4.51992753623188,1.79538974149368
"sim_211",4.56340579710145,1.91091427158701
"sim_212",8.56340579710145,2.21025357762097
"sim_213",6.1286231884058,2.14196333177366
"sim_214",4,1.93150777604648
"sim_215",1.84782608695652,1.43540394253631
"sim_216",4.76630434782609,1.90682154217955
"sim_217",4.57971014492754,1.98283478969995
"sim_218",5.47644927536232,1.64269645081317
"sim_219",0.867753623188406,1.22524186432261
"sim_220",1.90579710144928,1.37764167748965
"sim_221",4.02717391304348,1.61692037660873
"sim_222",2.9981884057971,1.67222145847645
"sim_223",2.34782608695652,1.77070350762675
"sim_224",5.80978260869565,1.95740251144413
"sim_225",6.82427536231884,1.74527122937093
"sim_226",6.34057971014493,1.90970577005629
"sim_227",5.51992753623188,1.66645300272296
"sim_228",2.78260869565217,1.85603623441709
"sim_229",5.15760869565217,1.71106594540967
"sim_230",3.71014492753623,1.75942948243721
"sim_231",4.04166666666667,1.82725727114269
"sim_232",6.15760869565217,1.76017552682609
"sim_233",2.19565217391304,1.06184577652118
"sim_234",4.91123188405797,2.0151647764908
"sim_235",4.52173913043478,1.99047854262386
"sim_236",1.15760869565217,1.3422673044417
"sim_237",2.34057971014493,1.3959368400809
"sim_238",8.14492753623188,1.67222145847645
"sim_239",4.25905797101449,1.90038629078635
"sim_240",2.8677536231884,1.74480877222909
"sim_241",6.05797101449276,0.99790758316814
"sim_242",3.04166666666667,1.7448087722291
"sim_243",5.32608695652174,2.18845157163078
"sim_244",5.27536231884058,1.99047854262386
"sim_245",8.65036231884058,2.02932302955708
"sim_246",3.91304347826087,1.92862354816974
"sim_247",5.46195652173913,2.09472904752765
"sim_248",6.40579710144928,1.9863858132164
"sim_249",2.375,1.65330368036301
"sim_250",3.08514492753623,1.7812314884274
"sim_251",3.67391304347826,1.94399030276673
"sim_252",3.73731884057971,1.88334380984332
"sim_253",4.375,1.99047854262386
"sim_254",5.01449275362319,1.68993073505918
"sim_255",6.31884057971015,2.02523030014962
"sim_256",4.68840579710145,1.85603623441709
"sim_257",8.375,1.81719174748387
"sim_258",3.32608695652174,1.83014149901944
"sim_259",6.30253623188406,2.04824080767052
"sim_260",3.78079710144928,1.50294814399474
"sim_261",6.43478260869565,2.05112503554727
"sim_262",3.41304347826087,1.826590475503
"sim_263",4.20108695652174,1.84905927713288
"sim_264",5.71014492753623,1.72346922338074
"sim_265",4.33152173913043,1.59453248461001
"sim_266",1.18840579710145,1.33040739324364
"sim_267",8,2.07004281366071
"sim_268",5.38949275362319,1.96867653663367
"sim_269",3.15217391304348,1.79129701208622
"sim_270",3.18840579710145,1.56434068130704
"sim_271",3.89673913043478,1.87086128312307
"sim_272",1.44927536231884,1.25831789550233
"sim_273",6.71739130434783,2.12659657717666
"sim_274",4.60688405797101,1.91091427158701
"sim_275",4,1.97995056182321
"sim_276",7.46195652173913,2.23857008375354
"sim_277",4.38949275362319,1.96867653663367
"sim_278",5.63586956521739,2.03696678248099
"sim_279",4.82427536231884,1.87783824040728
"sim_280",2.47644927536232,1.18777962622195
"sim_281",3.2445652173913,1.91091427158701
"sim_282",2.34057971014493,1.68704650718243
"sim_283",7.01449275362319,2.0151647764908
"sim_284",6.51992753623188,2.12780507870737
"sim_285",7.1231884057971,1.80666376668322
"sim_286",4.08695652173913,1.82771972828453
"sim_287",9.29710144927536,1.30480613535946
"sim_288",3.99275362318841,1.84905927713288
"sim_289",3.64492753623188,1.81243222243672
"sim_290",2.98369565217391,1.76594398257959
"sim_291",3.17210144927536,1.80666376668322
"sim_292",6.34057971014493,1.93150777604648
"sim_293",3.90579710144927,1.91855802451091
"sim_294",4.89673913043478,1.88501953618936
"sim_295",6.69384057971015,1.99047854262386
"sim_296",5.18840579710145,1.84187798135081
"sim_297",2.95652173913043,1.71173274104937
"sim_298",6.23188405797102,2.06883431213
