"i","asc1","desc1","dem1","p"
1,4.08070322729906,1.09504976496603,0.0209942841398927,-278.148830238272
2,1.56282301636618,0.969697399857789,0.0785656903901051,-260.607197196862
3,1.74767124762964,1.53292753297505,0.777280717424577,-261.509812576874
4,1.77433604880442,1.57457946899017,0.505961604461453,-261.034670054541
5,1.25152260636895,1.18586491748386,0.527400013879844,-260.968965484544
6,2.04670534986959,1.54676566297815,0.471236203704731,-262.07595275734
7,1.33845321839632,1.21320423966089,0.692157336044215,-260.976329041006
8,1.10290577955133,1.4563431229075,0.698176879905221,-261.951557622854
9,1.10516251252961,1.47149787832903,0.659973612830266,-261.907852506714
10,1.79011041323652,1.05452991871399,0.945083127876163,-262.859402676638
11,1.10526277764698,1.70385855052856,0.771915367551805,-262.849269211264
12,1.51737959787247,1.6714634577581,0.439839624059481,-260.827195502527
13,1.32908552712084,0.949664940382034,0.94737454053077,-263.110533302112
14,1.52076840879651,1.97492412623964,0.64627444598926,-262.924075916099
15,1.7170317877482,1.18340581894866,0.48322903547035,-260.784104048784
16,1.39072073798534,1.45654109070315,1.34151732539211,-262.231490478735
17,1.47879277680416,1.41008745945296,0.835197963446054,-261.002587966444
18,1.08732200176036,0.960570822667841,0.011873358918848,-262.260298707232
19,1.54523096624342,1.76475417959741,1.30169348568926,-263.104910190461
20,1.42011352621034,1.23848458445868,0.725097190229515,-260.875328575679
21,1.29354780904964,1.15094988952628,0.330318016369615,-260.51449608655
22,1.6387161534933,1.58174692385954,0.217847284193026,-260.090131299905
23,1.69423420649968,1.36614363536362,0.549278808738197,-260.611723008208
24,1.2318846408298,1.22516645269362,0.992480901552764,-261.910273969121
25,1.35928142904506,1.70693037716565,0.446725993059089,-261.225182034873
26,1.71287251003289,1.51232146948469,0.397732498951181,-260.45376701337
27,1.61722607769168,1.14621325610875,0.283505353213937,-260.174750843178
28,1.80073075670607,0.939373529636011,0.397765882408732,-262.29234056387
29,1.06396601971285,1.24569122342271,0.354463213708902,-261.744944283332
30,1.56982411886771,1.10808881009857,0.51492859917124,-260.849559383198
31,1.53248390141431,1.36346577976963,0.0311971859775237,-259.173613215643
32,1.48371658601717,1.48020579463935,0.458997764622886,-260.267859940971
33,1.49084277519558,1.10838540106501,0.447121279066201,-260.628885140869
34,1.61206808142903,1.19693125945937,0.491184444598686,-260.51763373483
35,1.20807815335299,1.27034096232105,0.0930098776598943,-260.22927415827
36,1.65932875760681,1.3291671804256,0.592140132370829,-260.642251980187
37,1.43425514507889,1.6290735466975,0.811881579791284,-261.448297312513
38,1.52558686054162,1.23630924752087,0.580405072904072,-260.535613126045
39,1.65391327763027,1.45613086549086,0.18952025884594,-259.73942025131
40,1.36419128250382,1.43495308496742,0.241261274390288,-259.924121380241
41,1.60889412342622,1.06053710246698,0.18932049751365,-260.325195178785
42,1.69030802214867,1.39324220486225,0.890962845995456,-261.453484251706
43,1.30997512435795,1.38231698448954,0.166984410480493,-259.887409408985
44,1.53747561939315,1.15985762207741,0.0855746110437861,-259.553556877545
45,2.51199175386944,1.82136612886742,0.163442655869724,-265.228840630164
46,2.02071132573553,1.03319833905616,0.193787922929645,-262.029604297735
47,1.0962680461199,1.57447375718684,0.287066036874791,-261.863346204498
48,2.24833829824349,1.5770756019111,0.177607409604112,-262.593151674145
49,2.13553227933591,1.35404185741012,0.0827129958544601,-261.39444604755
50,1.20220046707368,1.31413459415968,0.0593337182055383,-260.206717897439
51,1.39863540938063,1.72240824821826,0.0329516268494037,-260.562660881149
52,1.53078617861434,1.19193204289618,0.0750012988292721,-259.432689884939
53,1.74137265754557,1.13261392944897,0.0491298225542578,-259.905680207284
54,1.95268580512423,1.44814746500397,0.0678039526024711,-260.394306217358
55,1.24231444936525,1.24754222662,0.0698154432474513,-260.008338543873
56,1.25937049594127,1.37176474689318,0.331344421227556,-260.376768781718
57,2.16648401916377,1.21596319654721,0.19971231787524,-262.121332712254
58,1.83262108490221,1.53878074193137,0.635823125296498,-261.470006391011
59,1.77682886333555,1.55988529967938,0.378822594529059,-260.698715282775
60,1.53522157846369,1.12809801040769,0.29380820704876,-260.181674126648
61,1.43897017735175,2.09501500948884,0.616482056493588,-263.833565185958
62,1.43624686189152,2.01038978934038,0.779021936471755,-263.474343978283
63,1.44734978620709,1.14499763316225,0.0575493202359885,-259.568733524419
64,1.83895753850975,1.36059456855177,0.365389836612034,-260.626069986566
65,1.16573786075042,1.50015366941617,0.166368543173894,-260.937532978799
66,1.49509523893521,1.68254668128603,1.176683450558,-262.431244997674
67,1.26774174758649,1.09848290754408,0.694121986142194,-261.613501639139
68,1.37257394908253,0.989484376766912,0.278447280451687,-261.066063561289
69,1.78881733064796,1.4862992223996,0.560526685042922,-261.025308841283
70,1.36746475115675,1.52076543594629,0.0802904268837069,-259.839111877886
71,1.83830734147947,1.59756679909223,0.122990295294162,-260.391482955373
72,1.73603222674016,1.4249785703785,0.0606939290292207,-259.560078654605
73,1.81932432242926,1.45008581259185,0.161983742921156,-260.092470246238
74,1.59287507346956,1.75694903253475,0.351116960110616,-261.064040556003
75,1.4899621229958,1.82791220989907,0.479262083167733,-261.708024984861
76,1.45634970803412,1.32293171907856,0.440951652005712,-260.107088509784
77,1.62435392332449,1.23491369624308,0.536057525482843,-260.556530217389
78,1.86171652031569,1.20091376311878,0.415250836059358,-261.081762047945
79,1.6035089542925,1.8470336549294,0.797747723346532,-262.469777843344
80,1.66374024340759,1.1676448960127,0.682171292687038,-261.202895572467
81,1.72619555980839,1.36641389111215,0.0653583241359048,-259.503645446542
82,1.53545691023522,1.38954619297916,0.17267053771284,-259.511110726404
83,1.14949205305368,1.09168108089296,0.343451980424906,-261.529834345328
84,1.37243239615718,1.1474752789032,0.0528404560549685,-259.683073466972
85,2.29516326007154,1.47742331280786,0.105875214448259,-262.556341158626
86,1.71687139422359,1.27253541914006,0.221055887629791,-259.916612776607
87,1.32669854735186,1.7631787629987,0.707354803171525,-262.028199999652
88,1.80710771412751,1.1758895198464,0.219184254956397,-260.419855369023
89,1.47539375152601,1.40925543558166,0.216699588458504,-259.647150081212
90,1.52236909547983,1.34256531170882,0.47228278563368,-260.165872836046
91,1.17057987733906,1.32221079187781,0.810961307923229,-261.658473661812
92,1.81583037006831,1.56148845275608,0.0740554944222792,-260.093435092262
93,1.66398581013246,1.67054765924582,0.296352017106179,-260.623603139456
94,2.36564669141708,1.40931387544707,0.313155520982647,-263.609762646211
95,1.92501584151564,1.30544970576749,0.021482799792273,-260.12232993661
96,1.53868819925163,1.35603715037205,0.056716787215207,-259.227648002433
97,1.20073310389711,1.47959972259285,0.193385576396067,-260.670658970552
98,1.1364838705544,1.06771307013402,0.337302037059303,-261.73550992417
99,1.43564107303104,0.926093609985751,0.140355432283772,-261.170422074297
100,1.45548331352478,1.02647185429093,0.0381772149299651,-260.09280920533
101,1.55325081376554,1.76359704505364,0.281379481343962,-260.956159577492
102,1.38611344332071,1.13469485942148,0.0648102128700504,-259.723062702779
103,1.72303941936877,1.3531194499588,0.099949206743791,-259.579166808881
104,1.22596934244064,1.27485294829927,0.138452474175862,-260.199246572576
105,1.6936857743207,1.46724202039065,0.285653626727961,-260.059317096099
106,1.55362339050816,1.3015036575717,0.185923441253169,-259.534808052604
107,1.4711228977484,0.763834937593733,0.25991553388711,-263.51282314079
108,1.49571891739642,2.29959817056248,0.706098963154444,-265.599450664757
109,1.02553489925948,1.89368401649724,1.5044193153003,-265.522306098122
110,1.10794039914062,1.40356787662338,1.47191086847674,-263.271316043497
111,0.974806243550868,1.47003023834284,1.17031819905508,-263.709523737298
112,1.50771421170504,1.43259058500757,1.44208705682998,-262.488002044429
113,1.57883942965129,1.39111919658375,0.675924560230082,-260.695706140328
114,1.7532525036652,1.71150956935366,0.229414365347224,-260.824404402924
115,1.63580404397154,1.45630372878281,0.326715654590635,-260.028412773005
116,1.83999735711199,1.62728979197878,0.217393816751735,-260.720220245761
117,1.24547932623201,1.16779424473511,0.115216720493477,-260.229655243028
118,1.89916960872936,1.25668020144213,0.131041750519216,-260.362630303179
119,1.83805634493475,1.47463614743311,0.149794070821414,-260.164166004333
120,1.517633116333,1.41019093244171,0.680200261059784,-260.660978459627
121,1.3518363106773,1.58905353698714,0.286302435062926,-260.471528753564
122,1.69959937755584,1.19282004305928,0.555641990454926,-260.890899088193
123,1.69290680291628,1.27708863046786,0.309706399905019,-260.071422097
124,1.31106460391767,1.1518383517286,0.209104642388966,-260.193874418104
125,1.44686654313556,1.23943450512185,0.706003242241043,-260.81420511485
126,1.2127361456484,1.75034354115657,1.31043543172028,-263.404898779673
127,1.7635758932549,1.54339946853749,0.379589767855094,-260.619072747198
128,1.52501521094845,1.43096358234913,0.171083620348515,-259.557046418795
129,1.68354243885552,1.43358088935645,0.952204550605333,-261.609204605002
130,1.31797186665063,1.50706765660004,0.739829714220974,-261.129847789798
131,1.68100774369814,1.00474614968862,0.519249124019679,-261.698841505974
132,1.74291629887307,1.5050726790667,0.213256756134589,-260.077635207809
133,1.48802493696373,1.32337477857264,0.0306988223002636,-259.177615533083
134,1.53138771534238,1.34753130269934,1.21095288826026,-261.93481125786
135,1.32977302369933,1.37930308688197,0.641361328990384,-260.726662687242
136,1.2896302498796,1.57381013837408,0.135725318720907,-260.422163833206
137,1.12158863422361,1.54924254862326,2.18457936176051,-264.887166329104
138,1.61834434013714,1.50159521868353,0.511478846178948,-260.507698764788
139,1.79984672603236,1.53583202680974,0.13802331930949,-260.130802248936
