"i","asc1","desc1","p"
1,1.26992349140346,2.39633674257566,-290.548774347675
2,0.324862199563,1.42990486965646,-270.769011549108
3,0.33659274917136,1.7558756722222,-271.001882294372
4,0.373867443116468,1.70726935604565,-271.02755228275
5,0.367649413226691,1.67367169591904,-270.892821907482
6,0.406034525703394,1.21607732182184,-271.41548255213
7,0.438439486767851,1.76610164444031,-271.73930988469
8,0.45595187881089,1.2876808924653,-271.018722486017
9,0.631154087511438,0.905498705852688,-270.901803207982
10,0.762611114193758,1.10399162942489,-270.332708185686
11,0.780130000791585,1.01296240189302,-270.536457594704
12,0.484209389665237,1.52252713781971,-271.250513690808
13,0.353482969761559,1.47705068006856,-270.682757560172
14,0.26359332239403,1.67502846265133,-270.647609212775
15,0.179952744097328,1.43028090287853,-271.815504387443
16,0.524358203808966,1.2144353580324,-270.547486547273
17,0.657168634032681,0.987615864116767,-270.337786709857
18,0.707273917247729,0.775123556876294,-272.392205682441
19,0.749126016170846,0.894455827387316,-271.075746450705
20,0.558697001006529,1.30381273819861,-270.683586200437
21,0.756665636148876,1.172911051341,-270.393989500628
22,0.643503166002849,1.14190990238425,-270.076134085751
23,0.643231416627429,1.37266885240041,-271.006317929184
24,0.310193271290674,1.56653498376199,-270.581399878088
25,0.260013357689717,1.57140608995334,-270.636090894015
26,0.291357132701119,1.54605603727339,-270.596011469007
27,0.370254149569133,1.55991945239501,-270.707429197726
28,0.239972783213094,1.74502783114942,-270.795712058296
29,0.229331293466387,1.73905019657607,-270.807602079199
30,0.166200232533771,1.56577496145221,-271.401526308047
31,0.499771597344772,1.61406694083959,-271.624483666661
32,0.103684783398697,1.63841791484989,-272.526793854504
33,0.223643509249089,1.63214706640244,-270.744540293406
34,0.406765647875888,0.713614252968878,-276.189311423135
35,0.951920758179201,1.60404454322085,-275.060534246731
36,0.574245835172128,1.4608737751257,-271.443365781319
37,0.606629340751041,0.871895680769289,-271.287081960239
38,0.664107169099096,1.11128186863562,-270.068075546656
