"clade","h.taxonomy","chromes","phytips","overlap","rootage","taxtips","unresolved.perc"
"Chondrichthyes","Chondrichthyes",176,1192,77,413,FALSE,NA
"Anabantiformes","Actinopterygii",61,196,41,73,FALSE,NA
"Cichlidae","Actinopterygii",281,750,88,60,FALSE,NA
"Nothobranchiidae","Actinopterygii",242,11638,79,73,FALSE,NA
"Gobiidae","Actinopterygii",232,827,65,52,FALSE,NA
"Siluriformes","Actinopterygii",165,2009,131,96,FALSE,NA
"Characidae","Actinopterygii",663,1019,238,108,FALSE,NA
"Cyprinidae","Actinopterygii",1111,1368,398,90,FALSE,NA
"Caudata","Amphibia",246,796,204,415,FALSE,NA
"Anura","Amphibia",1831,5326,1207,210,FALSE,NA
"Carnivora","Mammalia",167,294,116,94,TRUE,5.17241379310345
"Cetacea","Mammalia",40,90,34,34,FALSE,NA
"Chiroptera","Mammalia",204,815,154,62,FALSE,NA
"Cricetidae","Mammalia",208,913,103,31,FALSE,NA
"Muridae","Mammalia",103,913,57,24.5,FALSE,NA
"Primates","Mammalia",148,455,90,74,FALSE,NA
"Marsupialia","Mammalia",40,40,40,78,FALSE,NA
"Gekkonidae","Reptilia",73,1331,59,78,FALSE,NA
"Scincoidea","Reptilia",154,1519,134,156,FALSE,NA
"Serpentes","Reptilia",256,1877,213,124,FALSE,NA
"Iguania","Reptilia",382,1416,353,146,FALSE,NA
"Accipitriformes","Reptilia",67,237,63,60,FALSE,NA
"Passeriformes","Reptilia",455,9189,449,64,FALSE,NA
"Galliformes","Reptilia",53,52,52,67,FALSE,NA
"Testudines","Reptilia",141,286,122,201,TRUE,3.27868852459016
"Araneae","Arachnida",1298,897,87,350,FALSE,NA
"Scorpiones","Arachnida",320,189,36,239,FALSE,NA
"Blattodea","Insecta",190,151,30,270,FALSE,NA
"Phasmatodea","Insecta",109,148,11,140,FALSE,NA
"Orthoptera","Insecta",319,232,36,74,FALSE,NA
"Hemiptera","Insecta",1744,1967,46,258,FALSE,NA
"Hymenoptera","Insecta",1591,602,345,240,FALSE,NA
"Dytiscidae","Insecta",85,973,29,144,FALSE,NA
"Carabidae","Insecta",777,104,95,103,FALSE,NA
"Hydrophilidae","Insecta",81,168,21,133,FALSE,NA
"Scarabidae","Insecta",478,211,174,180,FALSE,NA
"Coccinellidae","Insecta",159,112,24,219,FALSE,NA
"Chrysomelidae","Insecta",869,1640,182,136,FALSE,NA
"Curculionidae","Insecta",617,1492,33,95,FALSE,NA
"Tenebrionidae","Insecta",239,318,40,180,FALSE,NA
"Drosophilidae","Insecta",1246,685,352,62,FALSE,NA
"Lepidoptera","Insecta",3370,2255,322,102,FALSE,NA
"Odonata","Insecta",703,669,84,67,FALSE,NA
"Fungi","Fungi",151,5418,40,642,FALSE,NA
"Solanaceae","Angiospermae",1458,930,930,51,TRUE,48.2795698924731
"Rubiaceae","Angiospermae",1219,794,794,72,TRUE,53.904282115869
"Asteraceae","Angiospermae",6497,3336,3336,160,TRUE,21.5227817745803
"Brassicaceae","Angiospermae",2822,1557,1557,118,TRUE,45.0224791265254
"Passifloraceae","Angiospermae",159,134,134,50,TRUE,26.1194029850746
"Fabaceae","Angiospermae",2006,1692,1692,68,TRUE,55.5555555555556
"Magnoliaceae","Angiospermae",139,304,77,42,TRUE,59.7402597402597
"Orchidaceae","Angiospermae",8122,41474,1904,17,TRUE,43.2247899159664
"Liliaceae","Angiospermae",648,79340,430,119,TRUE,18.1395348837209
"Gymnospermae","Gymnospermae",2026,31749,375,304,FALSE,NA
"Pteridophyta","Pteridophyta",12075,5868,1465,429,FALSE,NA
"Bryophyta","Bryophyta",4666,533,239,488,FALSE,NA
