"i","asc1","desc1","dem1","p"
1,12.1415488334091,24.1789309768567,11.4447376312222,-1086.11908576861
2,0.678349961069052,5.66411813838279,4.66547253155149,-935.759357169348
3,0.717829003097145,5.46323961043602,4.62623117640614,-935.399139407947
4,0.870946868421165,5.58362721962262,4.94375012055971,-935.353105455939
5,0.898978906241612,4.884818958662,5.21035045189749,-935.336860277783
6,1.01560273143484,5.1782338916201,4.99309004932772,-935.099913479492
7,0.777805383763672,4.32554491808339,4.71190072850488,-935.596171118023
8,0.992719061886356,4.140810455323,4.58537239300251,-936.145958977573
9,0.874307953500584,5.68573767658024,4.31703414463602,-935.963986060022
10,1.83119625722598,4.52570404148362,4.95449266647623,-938.413578943608
11,0.265790480556446,5.56480117735795,4.5097793480719,-939.040188979337
12,1.71859810652302,4.28943341539584,4.49864039521238,-938.208119731236
13,1.68008083773177,5.48286972928203,4.8476748909752,-936.991107400886
14,0.476240330246654,5.41006638470448,5.01537256789832,-936.368704252671
15,1.43576231536821,5.23317927324287,4.89691515760834,-936.01462677799
16,1.39255595468904,5.9376144233819,4.52161662541667,-936.643205352236
17,1.68506211582902,6.11822829783968,4.38550180108586,-938.012219444423
18,1.00256906387558,4.80441638913079,4.67148022917399,-935.005023813218
19,1.06836577647501,6.12774862225241,4.94810807449159,-936.430036930709
20,1.57876970841415,5.53769866393022,4.76479137579066,-936.600032902997
21,0.716463845289226,4.16331968123167,4.36914986441263,-936.428532692705
22,0.889568943606343,4.46097016490138,4.48930162167528,-935.455912376722
23,0.6678513487059,4.5191018468894,4.66182326465071,-935.484790336684
24,1.36532210472071,5.53700070564709,4.41153690909275,-936.13173027993
25,0.555506653609507,5.40086590624053,5.1025312607535,-935.994369304804
26,0.594005220328279,4.30591501141537,4.82784805906796,-936.069901675512
27,1.31891001853236,5.9971932413486,4.89230038033657,-936.52964707972
28,0.693757825289674,5.89328499310289,5.47232595072954,-936.996048289065
29,1.74313837056123,5.74896127530012,4.48207072239945,-937.511348675028
30,1.32032709765533,5.5277895794169,4.50060956590625,-935.895771162423
31,1.26650269759173,4.69175874687797,4.74398126447007,-935.625708116812
32,0.575952694763086,5.02801173659108,4.85469552400503,-935.491294924361
33,0.897303867249587,6.13742665703475,4.97517750846203,-936.423158832797
34,1.52395760884955,3.99262015362007,4.88830556292999,-938.368078448403
35,1.51343572615842,4.87712881601152,4.47169306912441,-936.378231490476
36,0.757547673108585,5.13177570506751,5.89314217228424,-937.442791249216
37,1.32718656271194,5.13155386193476,5.48093463518638,-936.826044077001
38,1.44641079440211,4.76241908587336,5.54102847856451,-937.677661803643
39,1.28521629739595,5.64665502744547,4.15159460754115,-936.657752011777
40,0.846487586583798,5.56838668060309,4.49958647825736,-935.475248129393
41,0.864527304305729,5.73904518123537,5.0662079411665,-935.709665568853
42,0.941730712189373,4.84333838607936,4.71908482165206,-934.925551645109
43,0.714007563890068,4.07124642390874,4.87886524341199,-936.36292803424
44,0.763842986757021,3.72588555191308,4.65815704270396,-937.594809538571
45,1.14916058778771,4.05424195486778,4.1083563452227,-937.547561320677
46,0.927835178189065,5.37029201368195,4.44314471842851,-935.289897176895
47,0.626695149438541,5.368361292945,4.73369049491491,-935.497796338612
48,0.423684030872044,5.29335764756218,4.80374374152014,-936.584983799176
49,1.0622845534221,5.32030390914266,4.96359556252863,-935.201083383719
50,1.00907559617531,5.96546500677911,5.46466157157701,-936.951860210013
51,0.895763087234862,5.23466394225803,4.27235700833406,-935.533374580071
52,0.573366797910474,5.16532708646113,5.51800907417927,-936.581338726181
53,0.698647213782586,5.16527897075068,5.20778946965728,-935.493490620402
54,0.452934527270353,5.54589977676298,4.4382436460888,-936.998712440763
55,1.05535042135748,4.13187228966336,4.72094956497457,-936.229486675401
56,0.800829401679297,5.05274761383253,5.91321821572054,-937.491211451415
57,0.870089086614569,4.97785447872075,4.51028874391485,-935.024877148667
58,1.45212056292595,5.03984924695733,4.45007135134104,-936.11553254851
59,1.02431032412507,5.34108569134306,4.34502932985227,-935.473281172631
60,1.15946290120492,5.00314518633578,4.97145550904709,-935.301761932321
61,1.19864537066503,4.45863544354829,5.33592530802737,-936.637382165783
62,1.16991848395645,4.30965572265591,4.12424939122896,-936.84902878595
63,0.710995336771625,4.15601332224728,5.20767952802599,-936.526108140489
64,1.46690186325393,4.9606973235874,4.30904161043473,-936.402813949374
65,1.59435932340964,6.38723041796186,4.60347358601176,-938.096104513957
66,1.90761175711318,5.63599761928492,4.40797637005344,-938.136350475809
67,1.1517274831576,6.11365903626077,4.44516902973883,-936.65332714138
68,1.4816651198254,4.65794567708739,4.59146451692105,-936.399184008213
69,1.72462832026044,4.68798021511052,4.44756681772888,-937.462463637653
70,1.60561039770155,4.98630634373863,4.8209340437357,-936.62657096552
71,1.22233079574451,5.98144296887208,4.62059589945439,-936.287743495419
72,1.58954791807406,5.80074987192516,4.6858459163055,-936.923099805578
