"i","asc1","desc1","pol1","dem1","p"
1,1.05292871151052,1.35097075432462,0.480012482966707,0.0966793956548495,-338.641088549081
2,0.863978803018934,1.2310288687513,0.361029451949715,0.0851105319259243,-333.55246622403
3,0.801370121485163,1.55967802314989,0.342569583266494,0.059692043748337,-333.113596222278
4,0.526774703103544,1.3995317213264,0.280307273209523,0.0569208770205231,-330.882618681924
5,0.444934248414267,2.15171188105733,0.1136752830952,0.0901766930178584,-330.196261326077
6,0.84538526293027,2.17764493897325,0.0197568280064317,0.131101431628785,-330.338991960343
7,0.464505702657888,2.17272079900569,0.0417780953797189,0.141365643114919,-330.557974421981
8,0.531508051958198,1.49682999916105,0.0483959028836993,0.0634501514122694,-325.424038764105
9,0.439727518404598,1.66293942165744,0.027448836870107,0.00938381978055409,-325.631760607826
10,0.677020500568763,2.2279025153834,0.0387270184360886,0.0630557764467037,-327.530767465677
11,0.637579251221038,2.15154813119393,0.0715783599850596,0.0191024640458475,-327.054737326943
12,0.668835092872404,1.6631277006826,0.0453349251863303,0.0536019406044068,-324.658367385052
13,0.935386684489667,2.12698966346296,0.0144621640205274,0.0905766556235547,-329.088295014091
14,0.352742734741313,2.35772752804117,0.0231256331832326,0.0675680800069343,-330.194416570076
15,0.645449699128998,1.43738285121875,0.0300597043511573,0.132145615199772,-325.912132557567
16,0.516937940681218,1.21654719938912,0.0343229479415688,0.156286811987606,-326.236624990495
17,0.591976230588014,1.31574941092792,0.0423545388881648,0.115432488928688,-326.081107709828
18,0.743788967678316,1.37395782113125,0.0106650331534021,0.290322484882151,-328.386853516211
19,0.701539880059506,1.22518751441492,0.0237956375458991,0.402530609305081,-326.726619480531
20,0.384919230974984,0.479475748353243,0.0210203715037321,0.437248256240275,-327.99899548355
21,0.875311378072721,0.462006913158127,0.0549749121312097,0.400706913039323,-324.964788873765
22,0.952900822861106,0.514498775165123,0.0638556788131696,0.336671272464962,-325.301056349287
23,0.48565538907326,0.845833986104992,0.0192385197956033,0.391534056221069,-324.300890796852
24,0.982711457693039,0.766703896515105,0.00769414287293714,0.408016295697898,-324.837121746583
25,0.697598288579865,0.90719350526299,0.00881397559815882,0.392144561893975,-324.192309762835
26,0.792428203811232,0.94012631939016,0.0403485383786819,0.324260494192479,-324.783611346887
27,0.735627141002975,1.01293991464183,0.0237356177979259,0.314385247812041,-325.252852369703
28,0.814325755625412,0.606739203026447,0.0313078403288813,0.401929382299387,-322.850207956457
29,0.664851313094887,0.724061895912659,0.0151911181644041,0.374397949065239,-322.790794205354
30,0.658979371060896,0.654931492366998,0.035674531353222,0.442596430744993,-322.752536233627
31,0.63067267774975,0.693218528772453,0.0495991588319148,0.494327663087315,-323.563818468245
32,0.731638339139947,0.733650220809055,0.0343155793755271,0.324275526600223,-323.034294225593
33,0.863553231209823,0.754405464686043,0.0286311884884853,0.37148769816775,-323.267529292501
34,1.0446295757932,1.07697562628647,0.0379468929065694,0.27313690883402,-328.920536277755
35,0.8940684014581,1.12548751798154,0.0361353304628458,0.378272963520288,-327.086294641681
36,0.457347560800743,0.919796458163044,0.0319513851955482,0.399160938296348,-324.684487550121
37,0.749121391694,0.674284624531907,0.0917635164849136,0.459122862538062,-324.106529054114
38,0.78294325292803,0.776130281286356,0.0427651754365477,0.473795199160693,-323.536505597619
39,0.862216781580296,0.791169364654025,0.0304006634051568,0.440073236679875,-323.614646470672
40,0.858050379213124,0.798636641590727,0.0306099235815198,0.45552825806069,-323.74679476469
41,1.02566375258397,0.85705842846526,0.014169304971754,0.429949290008479,-325.60027482895
42,0.818225609490808,0.813482649454943,0.0463626233070589,0.42597262390482,-323.634425913265
43,0.627708125468385,0.944366333116443,0.0826718401192122,0.528570896702772,-326.078730493484
44,0.519566733346151,0.864366980195751,0.0150129543969141,0.535856357017019,-325.225667453431
45,0.669569286628411,0.946965046934921,0.138679374198081,0.331887451840424,-327.0166856891
46,0.526551762634269,0.698908146372409,0.0872049090625702,0.362990122660688,-324.837212448737
47,0.636860873451886,0.509997737192091,0.102091769953432,0.403644424770317,-324.947436395685
48,0.599964914097941,0.656511251412805,0.0138657850258588,0.462969323575028,-323.276754443826
49,0.550910139396877,0.566394464701239,0.0128711468819841,0.304147239348329,-324.381088681212
50,0.926615379458384,0.756769497646155,0.0618449285718481,0.380842195529744,-324.266628606091
