class,order,family,genus,species,haploid
Actinopteri,Characiformes,Anostomidae,abramites,Abramites_hypselonotus,27
Actinopteri,Characiformes,Anostomidae,abramites,Abramites_hypselonotus,27
Actinopteri,Characiformes,Acestrorhynchidae,acestrorhynchus,Acestrorhynchus_altus,25
Actinopteri,Characiformes,Acestrorhynchidae,acestrorhynchus,Acestrorhynchus_lacustris,25
Actinopteri,Characiformes,Acestrorhynchidae,acestrorhynchus,Acestrorhynchus_pantaneiro,25
Actinopteri,Characiformes,Hemiodontidae,anodus,Anodus_elongatus,27
Actinopteri,Characiformes,Hemiodontidae,anodus,Anodus_elongatus,27
Actinopteri,Characiformes,Hemiodontidae,anodus,Anodus_elongatus,27
Actinopteri,Characiformes,Anostomidae,anostomus,Anostomus_anostomus,27
Actinopteri,Characiformes,Anostomidae,anostomus,Anostomus_ternetzi,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27.5
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27.5
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27.5
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27.5
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27.5
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27.5
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_affinis,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_ibitiensis,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_ibitiensis,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_piracicabae,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_piracicabae,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_vittatus,27
Actinopteri,Characiformes,Parodontidae,apareiodon,Apareiodon_vittatus,27
Actinopteri,Characiformes,Characidae,aphyocharax,Aphyocharax_alburnus,25
Actinopteri,Characiformes,Characidae,aphyocharax,Aphyocharax_alburnus,25
Actinopteri,Characiformes,Characidae,aphyocharax,Aphyocharax_anisitsi,25
Actinopteri,Characiformes,Characidae,aphyocharax,Aphyocharax_anisitsi,25
Actinopteri,Characiformes,Characidae,aphyocharax,Aphyocharax_dentatus,25
Actinopteri,Characiformes,Characidae,aphyocharax,Aphyocharax_dentatus,25
Actinopteri,Characiformes,Hemiodontidae,argonectes,Argonectes_longiceps,27
Actinopteri,Characiformes,Alestidae,arnoldichthys,Arnoldichthys_spilopterus,28
Actinopteri,Characiformes,Characidae,astyanax,Astyanax_abramis,25
Actinopteri,Characiformes,Characidae,astyanax,Astyanax_altiparanae,25
Actinopteri,Characiformes,Characidae,astyanax,Astyanax_altiparanae,25
Actinopteri,Characiformes,Characidae,astyanax,Astyanax_altiparanae,25
Actinopteri,Characiformes,Characidae,astyanax,Astyanax_altiparanae,25
Actinopteri,Characiformes,Characidae,astyanax,Astyanax_altiparanae,25
Actinopteri,Characiformes,Characidae,astyanax,Astyanax_altiparanae,25
Actinopteri,Characiformes,Characidae,astyanax,Astyanax_asuncionensis,25
Actinopteri,Characiformes,Characidae,astyanax,Astyanax_bimaculatus,25
Actinopteri,Characiformes,Characidae,astyanax,Astyanax_bimaculatus,25
Actinopteri,Characiformes,Characidae,astyanax,Astyanax_bimaculatus,25
Actinopteri,Characiformes,Characidae,brachychalcinus,Brachychalcinus_copei,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_cephalus,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_cephalus,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_falcatus,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_falcatus,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_hilarii,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_hilarii,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_insignis,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_insignis,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_insignis,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_insignis,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_orbignyanus,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_orbignyanus,25
Actinopteri,Characiformes,Bryconidae,brycon,Brycon_orthotaenia,25
Actinopteri,Characiformes,Characidae,bryconamericus,Bryconamericus_stramineus,26
Actinopteri,Characiformes,Characidae,bryconella,Bryconella_pallidifrons,25
Actinopteri,Characiformes,Iguanodectidae,bryconops,Bryconops_humeralis,25
Actinopteri,Characiformes,Chilodontidae,caenotropus,Caenotropus_labyrinthicus,27
Actinopteri,Characiformes,Gasteropelecidae,carnegiella,Carnegiella_marthae,25
Actinopteri,Characiformes,Gasteropelecidae,carnegiella,Carnegiella_marthae,25
Actinopteri,Characiformes,Gasteropelecidae,carnegiella,Carnegiella_strigata,25-26
Actinopteri,Characiformes,Gasteropelecidae,carnegiella,Carnegiella_strigata,24
Actinopteri,Characiformes,Gasteropelecidae,carnegiella,Carnegiella_strigata,25
Actinopteri,Characiformes,Gasteropelecidae,carnegiella,Carnegiella_strigata,25
Actinopteri,Characiformes,Chalceidae,chalceus,Chalceus_macrolepidotus,27
Actinopteri,Characiformes,Chalceidae,chalceus,Chalceus_macrolepidotus,26
Actinopteri,Characiformes,Crenuchidae,characidium,Characidium_gomesi,25
Actinopteri,Characiformes,Crenuchidae,characidium,Characidium_lauroi,25
Actinopteri,Characiformes,Crenuchidae,characidium,Characidium_oiticicai,25
Actinopteri,Characiformes,Crenuchidae,characidium,Characidium_pterostictum,25
Actinopteri,Characiformes,Characidae,charax,Charax_leticiae,26
Actinopteri,Characiformes,Chilodontidae,chilodus,Chilodus_punctatus,27
Actinopteri,Characiformes,Lebiasinidae,copeina,Copeina_guttata,21
Actinopteri,Characiformes,Lebiasinidae,copella,Copella_arnoldi,22
Actinopteri,Characiformes,Lebiasinidae,copella,Copella_nattereri,18
Actinopteri,Characiformes,Characidae,ctenobrycon,Ctenobrycon_hauxwellianus,25
Actinopteri,Characiformes,Curimatidae,curimata,Curimata_cyprinoides,27
Actinopteri,Characiformes,Curimatidae,curimata,Curimata_inornata,27
Actinopteri,Characiformes,Curimatidae,curimata,Curimata_knerii,27
Actinopteri,Characiformes,Curimatidae,curimata,Curimata_ocellata,28
Actinopteri,Characiformes,Curimatidae,curimata,Curimata_vittata,27
Actinopteri,Characiformes,Curimatidae,curimatella,Curimatella_alburna,27
Actinopteri,Characiformes,Curimatidae,curimatella,Curimatella_dorsalis,27
Actinopteri,Characiformes,Curimatidae,curimatella,Curimatella_dorsalis,27
Actinopteri,Characiformes,Curimatidae,curimatella,Curimatella_immaculata,27
Actinopteri,Characiformes,Curimatidae,curimatella,Curimatella_lepidura,27
