"family","genus","sp","species","haploid"
"Aspleniaceae","Asplenium","adulterinum","Asplenium_adulterinum",72
"Aspleniaceae","Asplenium","balearicum","Asplenium_balearicum",72
"Aspleniaceae","Asplenium","fissum","Asplenium_fissum",36
"Aspleniaceae","Asplenium","lepidum","Asplenium_lepidum",72
"Aspleniaceae","Asplenium","lepidum","Asplenium_lepidum",72
"Aspleniaceae","Asplenium","obovatum","Asplenium_obovatum",36
"Aspleniaceae","Asplenium","onopteris","Asplenium_onopteris",36
"Aspleniaceae","Asplenium","petrarchae","Asplenium_petrarchae",72
"Athyriaceae","Athyrium","filix-foemina","Athyrium_filix-foemina",40
"Athyriaceae","Athyrium","filix-foemina","Athyrium_filix-foemina",40
"Athyriaceae","Athyrium","filix-foemina","Athyrium_filix-foemina",40
"Athyriaceae","Athyrium","filix-foemina","Athyrium_filix-foemina",40
"Dryopteridaceae","Dryopteris","assimilis","Dryopteris_assimilis",41
"Dryopteridaceae","Dryopteris","assimilis","Dryopteris_assimilis",41
"Dryopteridaceae","Dryopteris","assimilis","Dryopteris_assimilis",41
"Dryopteridaceae","Dryopteris","dilatata","Dryopteris_dilatata",82
"Dryopteridaceae","Dryopteris","pallida","Dryopteris_pallida",41
"Dryopteridaceae","Dryopteris","pallida","Dryopteris_pallida",41
"Dryopteridaceae","Dryopteris","pseudomas","Dryopteris_pseudomas",120
"Dryopteridaceae","Dryopteris","submontana","Dryopteris_submontana",82
"Dryopteridaceae","Dryopteris","villarii","Dryopteris_villarii",41
"Isoëtaceae","Calamaria","malinverniana","Calamaria_malinverniana",22
"Osmundaceae","Osmunda","regalis","Osmunda_regalis",22
"Osmundaceae","Osmunda","regalis","Osmunda_regalis",22
"Polypodiaceae","Polypodium","australe","Polypodium_australe",37
"Polypodiaceae","Polypodium","australe","Polypodium_australe",37
"Polypodiaceae","Polypodium","interjectum","Polypodium_interjectum",111
"Polypodiaceae","Polypodium","interjectum","Polypodium_interjectum",111
"Polypodiaceae","Polypodium","interjectum","Polypodium_interjectum",111
"Polypodiaceae","Polypodium","interjectum","Polypodium_interjectum",111
"Polypodiaceae","Polypodium","vulgare","Polypodium_vulgare",74
"Polypodiaceae","Polypodium","vulgare","Polypodium_vulgare",74
"Dryopteridaceae","Polystichum","setiferum","Polystichum_setiferum",41
"Pteridaceae","Pteris","vittata","Pteris_vittata",87
"Blechnaceae","Woodwardia","radicans","Woodwardia_radicans",34
"Blechnaceae","Woodwardia","radicans","Woodwardia_radicans",34
"Isoëtaceae","Isoetes","subinermis","Isoetes_subinermis",11
"Isoëtaceae","Isoetes","subinermis","Isoetes_subinermis",11
"Isoëtaceae","Isoetes","subinermis","Isoetes_subinermis",11
"Isoëtaceae","Isoetes","subinermis","Isoetes_subinermis",11
"Isoëtaceae","Cephaloceraton","histrix","Cephaloceraton_histrix",10
"Isoëtaceae","Cephaloceraton","histrix","Cephaloceraton_histrix",10
"Isoëtaceae","Cephaloceraton","histrix","Cephaloceraton_histrix",10
"Isoëtaceae","Cephaloceraton","histrix","Cephaloceraton_histrix",10
"Isoëtaceae","Cephaloceraton","histrix","Cephaloceraton_histrix",10
"Isoëtaceae","Cephaloceraton","histrix","Cephaloceraton_histrix",10
"Ophioglossaceae","Ophioglossum","lusitanicum","Ophioglossum_lusitanicum",120
"Ophioglossaceae","Botrychium","lunaria","Botrychium_lunaria",45
"Aspleniaceae","Asplenium","trichomanes","Asplenium_trichomanes",30
"Lycopodiaceae","Lycopodium","annotinum","Lycopodium_annotinum",13
"Polypodiaceae","Polypodium","vulgare","Polypodium_vulgare",74
