Family,Genus,species,haploid,SCS
Scarabaeidae,Adorrhinyptia,Adorrhinyptia_sp.,10,XY
Scarabaeidae,Aegiala,Aegiala_blanchardi,10,XY
Scarabaeidae,Aegialia,Aegialia_areria,10,XY
Scarabaeidae,Aeqialia,Aeqialia_blanchardi,10,XY
Scarabaeidae,Allomyrina,Allomyrina_dichotoma,10,XY
Scarabaeidae,Amaurodes,Amaurodes_passerini,10,XY
Scarabaeidae,Amaurodes,Amaurodes_passerini,10,XY
Scarabaeidae,Amphimallon,Amphimallon_majale,10,XY
Scarabaeidae,Anisoplia,Anisoplia_flavipennis,10,XY
Scarabaeidae,Anomala,Anomala_bengalensis,9,XY
Scarabaeidae,Anomala,Anomala_corpulenta,9,XY
Scarabaeidae,Anomala,Anomala_dorsalis,10,XY
Scarabaeidae,Anomala,Anomala_dubia,10,XY
Scarabaeidae,Anomala,Anomala_lucens,10,XY
Scarabaeidae,Anomala,Anomala_luciae,10,XY
Scarabaeidae,Anomala,Anomala_polita,10,XY
Scarabaeidae,Anomala,Anomala_ruficapilla,10,XY
Scarabaeidae,Anomala,Anomala_rufocuprea,9,XY
Scarabaeidae,Anomala,Anomala_sp.,10,XY
Scarabaeidae,Anomala,Anomala_superflua,10,XY
Scarabaeidae,Anomala,Anomala_varicolor,10,XY
Scarabaeidae,Anomala,Anomala_vestigator,10,XY
Scarabaeidae,Anoplotrupes,Anoplotrupes_balyi,11,XY
Scarabaeidae,Anoplotrupes,Anoplotrupes_stercorosus,10,XY
Scarabaeidae,Anoplotrupes,Anoplotrupes_stercorosus,11,XY
Scarabaeidae,Aphodius,Aphodius_abdomilis,10,XO
Scarabaeidae,Aphodius,Aphodius_ater,10,XY
Scarabaeidae,Aphodius,Aphodius_bonvouloiri,10,XY
Scarabaeidae,Aphodius,Aphodius_borealis,10,XY
Scarabaeidae,Aphodius,Aphodius_coniugatus,10,XY
Scarabaeidae,Aphodius,Aphodius_conspurcatus,10,XY
Scarabaeidae,Aphodius,Aphodius_consputus,10,XY
Scarabaeidae,Aphodius,Aphodius_constans,10,XY
Scarabaeidae,Aphodius,Aphodius_contamitus,10,XY
Scarabaeidae,Aphodius,Aphodius_depressus,10,XY
Scarabaeidae,Aphodius,Aphodius_distinctus,10,XY
Scarabaeidae,Aphodius,Aphodius_distintus,10,XY
Scarabaeidae,Aphodius,Aphodius_erraticus,10,XY
Scarabaeidae,Aphodius,Aphodius_fasciatus,10,XY
Scarabaeidae,Aphodius,Aphodius_fimetarius,10,XY
Scarabaeidae,Aphodius,Aphodius_fossor,10,XY
Scarabaeidae,Aphodius,Aphodius_haemorrhoidalis,10,XY
Scarabaeidae,Aphodius,Aphodius_lapponum,10,XY
Scarabaeidae,Aphodius,Aphodius_lineolatus,10,XY
Scarabaeidae,Aphodius,Aphodius_lividus,10,XY
Scarabaeidae,Aphodius,Aphodius_luridus,10,XY
Scarabaeidae,Aphodius,Aphodius_moestus,11,XY
Scarabaeidae,Aphodius,Aphodius_niger,10,XY
Scarabaeidae,Aphodius,Aphodius_obliteratus,10,XY
Scarabaeidae,Aphodius,Aphodius_paganettii,10,XY
Scarabaeidae,Aphodius,Aphodius_paykulli,10,XY
Scarabaeidae,Aphodius,Aphodius_pedellus,10,XY
Scarabaeidae,Aphodius,Aphodius_plagiatus,10,XY
Scarabaeidae,Aphodius,Aphodius_prodromus,10,XY
Scarabaeidae,Aphodius,Aphodius_pseudolividus,10,XY
Scarabaeidae,Aphodius,Aphodius_rufipes,10,XY
Scarabaeidae,Aphodius,Aphodius_rufus,10,XY
Scarabaeidae,Aphodius,Aphodius_scrutator,10,XY
Scarabaeidae,Aphodius,Aphodius_sphacelatus,10,XY
Scarabaeidae,Aphodius,Aphodius_sticticus,10,XY
Scarabaeidae,Aphodius,Aphodius_vittatus,10,XY
Scarabaeidae,Aphodius,Aphodius_wilsoe,10,XY
