Family,Genus,species,haploid,SCS
Scarabaeidae,Psammodius,Psammodius_oregonesis,10,XY
Scarabaeidae,Psammoporus,Psammoporus_sabuleti,10,XY
Scarabaeidae,Rhamphorrhina,Rhamphorrhina_bertolonii,10,XY
Scarabaeidae,Rhinyptia,Rhinyptia_indica,10,XY
Scarabaeidae,Rutela,Rutela_striata,10,XY
Scarabaeidae,Scarabaeidae,Scarabaeidae_nr.,10,XY
Scarabaeidae,Scarabaeus,Scarabaeus_cristatus,10,XY
Scarabaeidae,Scarabaeus,Scarabaeus_laticollis,10,XY
Scarabaeidae,Scarabaeus,Scarabaeus_sacer,10,XY
Scarabaeidae,Scarabaeus,Scarabaeus_semipunctatus,10,XY
Scarabaeidae,Schizonycha,Schizonycha_fuscescens,10,XY
Scarabaeidae,Schizonycha,Schizonycha_ruficollis,10,XY
Scarabaeidae,Schizonycha,Schizonycha_ruficollis,11,XY
Scarabaeidae,Serica,Serica_assamensis,10,XY
Scarabaeidae,Serica,Serica_falli,10,XY
Scarabaeidae,Serica,Serica_sericea,10,XY
Scarabaeidae,Serica,Serica_tristis,10,XY
Scarabaeidae,Serica,Serica_umbrinella,10,XY
Scarabaeidae,Sericotrupes,Sericotrupes_niger,11,XY
Scarabaeidae,Sisyphus,Sisyphus_schaefferi,10,XY
Scarabaeidae,Stephanocrates,Stephanocrates_preussi,10,XY
Scarabaeidae,Stephanorrhina,Stephanorrhina_guttata,10,XY
Scarabaeidae,Stephanorrhina,Stephanorrhina_princeps,10,XY
Scarabaeidae,Strategus,Strategus_surinamensis,10,XY
Scarabaeidae,Strategus,Strategus_syphax,10,XY
Scarabaeidae,Sulcophanaeus,Sulcophanaeus_imperator,10,NeoXY
Scarabaeidae,Sulcophanaeus,Sulcophanaeus_menelas,10,NeoXY
Scarabaeidae,Thorectes,Thorectes_geminatus,11,XY
Scarabaeidae,Thorectes,Thorectes_intermedius,11,XY
Scarabaeidae,Thorectes,Thorectes_lusitanicus,11,XY
Scarabaeidae,Thorectes,Thorectes_punctatissimus,10,XY
Scarabaeidae,Tiniocellus,Tiniocellus_spinipes,12,XY
Scarabaeidae,Trichiotinus,Trichiotinus_assimilis,10,XY
Scarabaeidae,Trichius,Trichius_fasciatus,10,XY
Scarabaeidae,Trichius,Trichius_rosaceus,10,XY
Scarabaeidae,Trichius,Trichius_sexualis,10,XY
Scarabaeidae,Trichius,Trichius_zotus,10,XY
Scarabaeidae,Trypocopris,Trypocopris_pyreeus,10,XY
Scarabaeidae,Trypocopris,Trypocopris_verlis,11,XY
Scarabaeidae,Typhaeus,Typhaeus_typhoeus,10,XY
Scarabaeidae,Xylotrupes,Xylotrupes_gideon,10,XY
