Valid,species,2n,haploid
Tityus,Tityus_costatus,-16,8
Tityus,Tityus_carrilloi,-6,3
Tityus,Tityus_martinpaechi,6,3
Tityus,Tityus_smithii,6,3
Isometrus,Isometrus_thwaitesi,8,4
Isometrus,Isometrus_thwaitesi,8,4
Charmus,Charmus_laneus,9,4.5
Tityus,Tityus_bahiensis,9,4.5
Lychas,Lychas_mucronatus,10,5
Lychas,Lychas_obsti,10,5
Reddyanus,Reddyanus_schwotti Kova_ík,11,5.5
Reddyanus,Reddyanus_schwotti,11,5.5
Ananteris,Ananteris_balzanii,12,6
Isometrus,Isometrus_maculatus,12,6
Reddyanus,Reddyanus_justi,12,6
Tityus,Tityus_obscurus,"11, 12, 13, 14, 16",6
Grosphus,Grosphus_sp.,13,6.5
Tityus,Tityus_confluens,13,6.5
Buthoscorpio,Buthoscorpio_sarasinorum,14,7
Hemilychas,Hemilychas_alexandrinus,14,7
Hottentotta,Hottentotta_arenaceus,14,7
Hottentotta,Hottentotta_saulcyi,14,7
Hottentotta,Hottentotta_saulcyi,14,7
Hottentotta,Hottentotta_sousai,14,7
Isometroides,Isometroides_vescus,14,7
Isometrus,Isometrus_melanodactylus,14,7
Lychas,Lychas_marmoreus,"12, 14, 15",7
Lychas,Lychas_scutilus,14,7
Reddyanus,Reddyanus_furai Kova_ík,14,7
Reddyanus,Reddyanus_rolciki Kova_ík,14,7
Reddyanus,Reddyanus_rolciki,14,7
Tityus,Tityus_apiacas,14,7
Tityus,Tityus_fasciolatus,14,7
Tityus,Tityus_trivittatus,14,7
Babycurus,Babycurus_jacksoni,16,8
Heteroctenus,Heteroctenus_abudi,16,8
Heteroctenus,Heteroctenus_princeps,16,8
Hottentotta,Hottentotta_conspersus,16,8
Hottentotta,Hottentotta_hottentotta,16,8
Hottentotta,Hottentotta_judaicus,16,8
Hottentotta,Hottentotta_minusalta,16,8
Lychas,Lychas_krali,16,8
Lychas,Lychas_srilankensis,16,8
Lychas,Lychas_variatus,"14, 16",8
Parabuthus,Parabuthus_abyssinicus,16,8
Parabuthus,Parabuthus_kabateki,16,8
Parabuthus,Parabuthus_robustus,16,8
Parabuthus,Parabuthus_somalilandus,16,8
Reddyanus,Reddyanus_basilicus,"15, 16",8
Reddyanus,Reddyanus_basilicus,"15, 16",8
Reddyanus,Reddyanus_ceylonensis,16,8
