species,haploid,state
Caluromys_philander,7,0
Caluromys_lanatus,7,0
Monodelphis_brevicaudata,9,1
Monodelphis_domestica,9,1
Marmosa_mexicana,7,0
Marmosa_robinsoni,7,0
Marmosa_murina,7,0
Metachirus_nudicaudatus,7,0
Chironectes_minimus,11,0
Lutreolina_crassicaudata,11,0
Didelphis_virginiana,11,1
Didelphis_albiventris,11,0
Didelphis_marsupialis,11,0
Philander_opossum,11,0
Philander_mcilhennyi,11,0
Marmosops_incanus,7,0
Perameles_nasuta,7,0
Isoodon_macrourus,7,0
Isoodon_obesulus,7,0
Sminthopsis_crassicaudata,7,0
Sarcophilus_harrisii,7,0
Dasyurus_maculatus,7,0
Dasyurus_viverrinus,7,0
Vombatus_ursinus,7,0
Cercartetus_concinnus,7,0
Cercartetus_nanus,7,0
Acrobates_pygmaeus,7,0
Pseudocheirus_peregrinus,10,1
Lagorchestes_conspicillatus,8,0
Thylogale_stigmatica,11,1
Thylogale_thetis,11,1
Petrogale_concinna,8,0
Petrogale_burbidgei,8,0
Petrogale_brachyotis,9,1
Petrogale_xanthopus,11,1
Petrogale_persephone,11,1
Petrogale_assimilis,10,1
Petrogale_inornata,11,1
Petrogale_pencillata,11,0
Petrogale_rothschildi,11,1
