"family","genus","sp","species","haploid"
"Thuidiaceae","Claopodium","nervosum","Claopodium_nervosum",11
"Thuidiaceae","Claopodium","pellucinerve","Claopodium_pellucinerve",11
"Thuidiaceae","Haplocladium","microphyllum","Haplocladium_microphyllum",11
"Thuidiaceae","Haplocladium","strictulum","Haplocladium_strictulum",11
"Thuidiaceae","Haplocladium","subulaceum","Haplocladium_subulaceum",11
"Thuidiaceae","Haplohymenium","pseudo-triste","Haplohymenium_pseudo-triste",11
"Thuidiaceae","Haplohymenium","sieboldii","Haplohymenium_sieboldii",11
"Thuidiaceae","Haplohymenium","triste","Haplohymenium_triste",11
"Thuidiaceae","Herpetineuron","toccoae","Herpetineuron_toccoae",11
"Thuidiaceae","Heterocladium","procurrens","Heterocladium_procurrens",10
"Thuidiaceae","Thuidium","bipinnatulum","Thuidium_bipinnatulum",11
"Thuidiaceae","Thuidium","cymbifolium","Thuidium_cymbifolium",11
"Thuidiaceae","Thuidium","glaucinum","Thuidium_glaucinum",11
"Thuidiaceae","Thuidium","kanedae","Thuidium_kanedae",11
"Brachytheciaceae","Brachythecium","plumosum","Brachythecium_plumosum",10
"Brachytheciaceae","Brachythecium","starkei","Brachythecium_starkei",10
"Brachytheciaceae","Eurhynchium","stokesii","Eurhynchium_stokesii",10
"Brachytheciaceae","Eurhynchiastrum","substrigosum","Eurhynchiastrum_substrigosum",10
"Brachytheciaceae","Eurhynchium","substrigosum","Eurhynchium_substrigosum",10
"Hypnaceae","Hypnum","circinale","Hypnum_circinale",6
"Hypnaceae","Hypnum","subimponens","Hypnum_subimponens",11
"Hylocomiaceae","Rhytidiadelphus","loreus","Rhytidiadelphus_loreus",5
"Hylocomiaceae","Rhytidiopsis","robusta","Rhytidiopsis_robusta",10
"Amblystegiaceae","Limnobium","spongia","Limnobium_spongia",12
"Amblystegiaceae","Limnobium","stoloniferum","Limnobium_stoloniferum",14
"Sematophyllaceae","Heterophyllium","helvetica","Heterophyllium_helvetica",9
"Fissidentaceae","Fissidens","bryoides","Fissidens_bryoides",12
"Fissidentaceae","Fissidens","bryoides","Fissidens_bryoides",12
"Fissidentaceae","Fissidens","bryoides","Fissidens_bryoides",13
"Fissidentaceae","Fissidens","bryoides","Fissidens_bryoides",10
"Fissidentaceae","Fissidens","bryoides","Fissidens_bryoides",10
"Fissidentaceae","Fissidens","bryoides","Fissidens_bryoides",10
"Fissidentaceae","Fissidens","bryoides","Fissidens_bryoides",5
"Fissidentaceae","Fissidens","bryoides","Fissidens_bryoides",5
"Mniaceae","Rhizomnium","punctatum","Rhizomnium_punctatum",6
"Mniaceae","Rhizomnium","punctatum","Rhizomnium_punctatum",7
"Mniaceae","Rhizomnium","punctatum","Rhizomnium_punctatum",7
"Mniaceae","Rhizomnium","punctatum","Rhizomnium_punctatum",7
"Mniaceae","Rhizomnium","punctatum","Rhizomnium_punctatum",7
"Mniaceae","Rhizomnium","punctatum","Rhizomnium_punctatum",6
"Hypnaceae","Taxiphyllum","barbieri","Taxiphyllum_barbieri",11
"Pottiaceae","Trichostomum","tenuirostris","Trichostomum_tenuirostris",13
"Hypnaceae","Taxiphyllum","taxirameum","Taxiphyllum_taxirameum",11
"Hypnaceae","Taxiphyllum","wissgrillii","Taxiphyllum_wissgrillii",10
"Meesiaceae","Paludella","squarrosa","Paludella_squarrosa",11
"Meesiaceae","Paludella","squarrosa","Paludella_squarrosa",10
"Meteoriaceae","Papillaria","crocea","Papillaria_crocea",11
"Meteoriaceae","Papillaria","deppei","Papillaria_deppei",11
"Thuidiaceae","Abietinella","abietina","Abietinella_abietina",11
"Thuidiaceae","Abietinella","abietina","Abietinella_abietina",10
"Thuidiaceae","Abietinella","abietina","Abietinella_abietina",10
"Amblystegiaceae","Acrocladium","chlamydophyllum","Acrocladium_chlamydophyllum",11
"Meteoriaceae","Aerobryidium","filamentosum","Aerobryidium_filamentosum",11
"Meteoriaceae","Aerobryopsis","parisii","Aerobryopsis_parisii",11
"Meteoriaceae","Aerobryopsis","subdivergens","Aerobryopsis_subdivergens",11
"Meteoriaceae","Aerobryopsis","wallichii","Aerobryopsis_wallichii",11
"Pottiaceae","Aloina","aloides","Aloina_aloides",25
"Pottiaceae","Aloina","aloides","Aloina_aloides",25
"Amblystegiaceae","Amblystegium","subtile","Amblystegium_subtile",10
"Amblystegiaceae","Amblystegium","varium","Amblystegium_varium",40
"Amblystegiaceae","Amblystegium","varium","Amblystegium_varium",11
"Amblystegiaceae","Amblystegium","varium","Amblystegium_varium",11
"Fabroniaceae","Anacamptodon","splachnoides","Anacamptodon_splachnoides",11
"Fabroniaceae","Anacamptodon","splachnoides","Anacamptodon_splachnoides",11
"Andreaeaceae","Andreaea","rupestris","Andreaea_rupestris",10
"Hypnaceae","Hypnum","callichroum","Hypnum_callichroum",10
"Hypnaceae","Hypnum","cupressiforme","Hypnum_cupressiforme",11
"Hypnaceae","Hypnum","cupressiforme","Hypnum_cupressiforme",10
"Hypnaceae","Hypnum","cupressiforme","Hypnum_cupressiforme",9
"Hypnaceae","Hypnum","cupressiforme","Hypnum_cupressiforme",10
"Hypnaceae","Hypnum","cupressiforme","Hypnum_cupressiforme",10
"Hypnaceae","Hypnum","cupressiforme","Hypnum_cupressiforme",10
"Splachnaceae","Tayloria","serrata","Tayloria_serrata",8
"Tetraphidaceae","Tetraphis","pellucida","Tetraphis_pellucida",8
"Tetraphidaceae","Tetraphis","pellucida","Tetraphis_pellucida",8
"Splachnaceae","Tetraplodon","angustatus","Tetraplodon_angustatus",10
"Neckeraceae","Thamnobryum","alopecurum","Thamnobryum_alopecurum",11
"Thuidiaceae","Thuidium","assimile","Thuidium_assimile",11
"Thuidiaceae","Thuidium","bonianum","Thuidium_bonianum",11
"Thuidiaceae","Thuidium","contortulum","Thuidium_contortulum",11
"Thuidiaceae","Thuidium","cymbifolium","Thuidium_cymbifolium",11
"Thuidiaceae","Thuidium","cymbifolium","Thuidium_cymbifolium",20
"Thuidiaceae","Thuidium","cymbifolium","Thuidium_cymbifolium",10
"Thuidiaceae","Thuidium","cymbifolium","Thuidium_cymbifolium",11
"Thuidiaceae","Thuidium","delicatulum","Thuidium_delicatulum",11
"Thuidiaceae","Thuidium","erectum","Thuidium_erectum",11
"Thuidiaceae","Thuidium","erectum","Thuidium_erectum",11
"Thuidiaceae","Thuidium","erectum","Thuidium_erectum",11
"Thuidiaceae","Thuidium","erectum","Thuidium_erectum",11
"Thuidiaceae","Thuidium","glaucinum","Thuidium_glaucinum",11
"Thuidiaceae","Thuidium","glaucinum","Thuidium_glaucinum",11
"Thuidiaceae","Thuidium","glaucinum","Thuidium_glaucinum",11
"Thuidiaceae","Thuidium","minusculum","Thuidium_minusculum",11
"Thuidiaceae","Thuidium","minusculum","Thuidium_minusculum",11
"Thuidiaceae","Thuidium","minusculum","Thuidium_minusculum",9
"Thuidiaceae","Thuidium","minusculum","Thuidium_minusculum",11
"Thuidiaceae","Thuidium","minusculum","Thuidium_minusculum",11
"Thuidiaceae","Thuidium","minusculum","Thuidium_minusculum",11
"Thuidiaceae","Thuidium","minusculum","Thuidium_minusculum",9
"Thuidiaceae","Thuidium","minusculum","Thuidium_minusculum",11
"Thuidiaceae","Thuidium","philibertii","Thuidium_philibertii",10
"Thuidiaceae","Thuidium","philibertii","Thuidium_philibertii",11
"Thuidiaceae","Thuidium","recognitum","Thuidium_recognitum",10
"Thuidiaceae","Thuidium","recognitum","Thuidium_recognitum",11
"Thuidiaceae","Thuidium","recognitum","Thuidium_recognitum",11
"Thuidiaceae","Thuidium","sparsifolium","Thuidium_sparsifolium",11
"Thuidiaceae","Thuidium","tamariscinum","Thuidium_tamariscinum",11
"Thuidiaceae","Thuidium","tamariscinum","Thuidium_tamariscinum",11
"Timmiaceae","Timmia","austriaca","Timmia_austriaca",16
"Timmiaceae","Timmia","austriaca","Timmia_austriaca",8
"Timmiaceae","Timmia","bavarica","Timmia_bavarica",16
"Pottiaceae","Timmiella","anomala","Timmiella_anomala",15
"Pottiaceae","Timmiella","anomala","Timmiella_anomala",14
"Pottiaceae","Timmiella","anomala","Timmiella_anomala",15
"Pottiaceae","Timmiella","anomala","Timmiella_anomala",15
"Pottiaceae","Timmiella","barbuloides","Timmiella_barbuloides",15
"Pottiaceae","Timmiella","diminuta","Timmiella_diminuta",13
"Pottiaceae","Timmiella","diminuta","Timmiella_diminuta",15
