"clade","species","haploid"
"accipitriformes","pithecophaga_jefferyi","33"
"accipitriformes","sagittarius_serpentarius","40"
"accipitriformes","haliaeetus_leucoryphus","33"
"accipitriformes","terathopius_ecaudatus","33"
"accipitriformes","accipiter_gentilis","39"
"accipitriformes","pandion_haliaetus","37"
"accipitriformes","circus_aeruginosus","36"
"accipitriformes","circus_cyaneus","36"
"accipitriformes","circus_pygargus","36"
"accipitriformes","accipiter_novaehollandiae","34"
"accipitriformes","buteo_buteo","34"
"accipitriformes","buteo_jamaicensis","34"
"accipitriformes","buteo_lagopus","34"
"accipitriformes","buteo_nitidus","34"
"accipitriformes","buteo_platypterus","34"
"accipitriformes","buteo_regalis","34"
"accipitriformes","buteo_swainsoni","34"
"accipitriformes","elanus_caeruleus","34"
"accipitriformes","geranoaetus_albicaudatus","34"
"accipitriformes","geranoaetus_melanoleucus","34"
"accipitriformes","parabuteo_unicinctus","34"
"accipitriformes","rupornis_magnirostris","34"
"accipitriformes","spizaetus_tyrannus","34"
"accipitriformes","accipiter_badius","33"
"accipitriformes","accipiter_nisus","33"
"accipitriformes","accipiter_virgatus","33"
"accipitriformes","aquila_audax","33"
"accipitriformes","butastur_teesa","33"
"accipitriformes","buteogallus_meridionalis","33"
"accipitriformes","circaetus_gallicus","33"
"accipitriformes","geranospiza_caerulescens","33"
"accipitriformes","haliaeetus_albicilla","33"
"accipitriformes","haliaeetus_leucocephalus","33"
"accipitriformes","haliastur_indus","33"
"accipitriformes","icthyophaga_leucogaster","33"
"accipitriformes","icthyophaga_vocifer","33"
"accipitriformes","leptodon_cayanensis","33"
"accipitriformes","lophaetus_occipitalis","33"
"accipitriformes","pernis_apivorus","33"
"accipitriformes","pseudastur_albicollis","33"
"accipitriformes","aquila_chrysaetos","31"
"accipitriformes","nisaetus_nipalensis","34"
"accipitriformes","stephanoaetus_coronatus","33"
"accipitriformes","morphnus_guianensis","27"
"accipitriformes","aquila_adalberti","41"
"accipitriformes","aquila_heliaca","34"
"accipitriformes","aquila_rapax","34"
"accipitriformes","haliaeetus_pelagicus","33"
"accipitriformes","harpia_harpyja","29"
"accipitriformes","neophron_percnopterus","33"
"accipitriformes","coragyps_atratus","40"
"accipitriformes","milvus_migrans","33"
"accipitriformes","gymnogyps_californianus","40"
"accipitriformes","gyps_bengalensis","33"
"accipitriformes","gyps_rueppelli","33"
"accipitriformes","necrosyrtes_monachus","33"
"accipitriformes","sarcogyps_calvus","33"
"accipitriformes","torgos_tracheliotos","33"
"accipitriformes","cathartes_aura","40"
"accipitriformes","cathartes_burrovianus","40"
"accipitriformes","sarcoramphus_papa","40"
"accipitriformes","gyps_fulvus","33"
"accipitriformes","aegypius_monachus","33"
"accipitriformes","gyps_himalayensis","33"
"accipitriformes","gypaetus_barbatus","30"
"accipitriformes","vultur_gryphus","40"
"accipitriformes","gyps_coprotheres","33"
"anabantiformes","Anabas_cobojius","23"
"anabantiformes","Anabas_testudineus","23"
"anabantiformes","Anabas_testudineus","24"
"anabantiformes","Badis_badis","24"
"anabantiformes","Betta_pi","17"
"anabantiformes","Betta_prima","19"
"anabantiformes","Betta_pugnax","20"
"anabantiformes","Betta_simplex","23"
"anabantiformes","Betta_splendens","21"
"anabantiformes","Channa_argus","24"
"anabantiformes","Channa_asiatica","22"
"anabantiformes","Channa_barca","19"
"anabantiformes","Channa_gachua","39"
"anabantiformes","Channa_lucius","24"
"anabantiformes","Channa_maculata","21"
"anabantiformes","Channa_marulius","22"
"anabantiformes","Channa_marulius","20"
"anabantiformes","Channa_micropeltes","22"
"anabantiformes","Channa_orientalis","38"
"anabantiformes","Channa_orientalis","39"
"anabantiformes","Channa_punctata","16"
"anabantiformes","Channa_punctata","17"
"anabantiformes","Channa_stewartii","33"
"anabantiformes","Channa_striata","20"
"anabantiformes","Channa_striatus","20"
"anabantiformes","Colisa_chuna","23"
"anabantiformes","Colisa_fasciatus","24"
"anabantiformes","Colisa_labiosus","24"
"anabantiformes","Colisa_lalius","23"
"anabantiformes","Colisa_sota","23"
"anabantiformes","Ctenopoma_acutirostre","24"
"anabantiformes","Ctenopoma_muriei","24"
"anabantiformes","Ctenopoma_ocellatum","24"
"anabantiformes","Ctenopoma_petherici","24"
"anabantiformes","Ctenops_nobilis","22"
"anabantiformes","Helostoma_temminkii","24"
"anabantiformes","Macropodus_chinensis","23"
"anabantiformes","Macropodus_chinensis","24"
"anabantiformes","Macropodus_ocellatus","23"
"anabantiformes","Macropodus_opercularis","23"
"anabantiformes","Macropodus_spechti","23"
"anabantiformes","Microctenopoma_ansorgei","23"
"anabantiformes","Microctenopoma_congicum","23"
"anabantiformes","Microctenopoma_pekkolai","24"
"anabantiformes","Nandus_nandus","24"
"anabantiformes","Nandus_oxyrhynchus","24"
"anabantiformes","Osphronemus_goramy","24"
"anabantiformes","Parachanna_obscura","21"
"anabantiformes","Parosphromenus_sumatranus","23"
"anabantiformes","Pristolepis_marginata","24"
"anabantiformes","Trichogaster_fasciatus","24"
"anabantiformes","Trichogaster_labiosus","24"
"anabantiformes","Trichogaster_lalius","23"
"anabantiformes","Trichopodus_cantoris","23"
"anabantiformes","Trichopodus_leeri","23"
"anabantiformes","Trichopodus_microlepis","23"
"anabantiformes","Trichopodus_pectoralis","23"
"anabantiformes","Trichopodus_trichopterus","23"
"anabantiformes","Trichopsis_pumila","23"
"anabantiformes","Trichopsis_schalleri","23"
"anabantiformes","Trichopsis_vittata","23"
"anura","allophryne_ruthveni","10"
"anura","alsodes_aff_vittatus","13"
"anura","alsodes_barrioi","17"
"anura","alsodes_coppingeri","13"
"anura","alsodes_gargola","13"
"anura","alsodes_hugoi","13"
"anura","alsodes_igneus","13"
"anura","alsodes_montanus","13"
"anura","alsodes_monticola","13"
"anura","alsodes_neuquensis","13"
"anura","alsodes_nodosus","11"
"anura","alsodes_norae","15"
